Term,Abbr,Source,Value,Year
Inflation Rate,ir,ATB,0.025,2018
Interest Rate,i,ATB,0.05,2018
Interest During Construction,ic,ATB,0.035,2018
Rate of Return on Equity,rre,ATB,0.1,2018
Debt Fraction,df,ATB,0.67,2018
Tax Rate (Federal and State),tr,ATB,0.257,2018
