Vehicle Model,MPG_city,MPG_hw
Representative Vehicle MPG(62 city/ 0 hw)',62,56
'HYUNDAI NEXO Auto-1 2WD MPG(59 city/54 hw)',59,54
'HYUNDAI NEXO Blue Auto-1 2WD MPG(65 city/58 hw)',65,58
