dy,day_contribution,IE_day,FD_day,Total
250,0.002889338,,,
251,0.002889338,,,
252,0.002369257,,,
253,0.002369257,,,
254,0.002889338,,,
255,0.002889338,,,
256,0.002889338,,,
257,0.002889338,,,
258,0.002889338,,,
259,0.002369257,,,
260,0.002369257,,,
261,0.002889338,,,
262,0.002889338,,,
263,0.002889338,,,
264,0.002889338,,,
265,0.002889338,,,
266,0.002369257,,,
267,0.002369257,,,
268,0.002889338,,,
269,0.002889338,,,
270,0.002889338,,,
271,0.002889338,,,
272,0.002889338,,,
273,0.002369257,,,
274,0.002369257,,,
275,0.002889338,,,
276,0.002889338,,,
277,0.002889338,,,
278,0.002889338,,,
279,0.002889338,,,
280,0.002369257,,,
281,0.002369257,,,
282,0.002889338,,,
283,0.002889338,,,
284,0.002889338,,,
285,0.002889338,,,
286,0.002889338,,,
287,0.002369257,,,
288,0.002369257,,,
289,0.002889338,,,
290,0.002889338,,,
291,0.002889338,,,
292,0.002889338,,,
293,0.002889338,,,
294,0.002369257,,,
295,0.002369257,,,
296,0.002889338,,,
297,0.002889338,,,
298,0.002889338,,,
299,0.002889338,,,
300,0.002889338,,,
301,0.002369257,,,
302,0.002369257,,,
303,0.002889338,,,
304,0.002889338,,,
305,0.002889338,,,
306,0.002889338,,,
307,0.002889338,,,
308,0.002369257,,,
309,0.002369257,,,
310,0.002889338,,,
311,0.002889338,,,
312,0.002889338,,,
313,0.002889338,,,
314,0.002889338,,,
315,0.002369257,,,
316,0.002369257,,,
317,0.002889338,,,
318,0.002889338,,,
319,0.002889338,,,
320,0.002889338,,,
321,0.002889338,,,
322,0.002369257,,,
323,0.002369257,,,
324,0.002889338,,,
325,0.002889338,,,
326,0.002889338,,,
327,0.002889338,,,
328,0.002889338,,,
329,0.002369257,,,
330,0.002369257,,,
331,0.002889338,,,
332,0.002889338,,,
333,0.002889338,,,
334,0.002889338,,,
335,0.002889338,,,
336,0.002369257,,,
337,0.002369257,,,
338,0.002889338,,,
339,0.002889338,,,
340,0.002889338,,,
341,0.002889338,,,
342,0.002889338,,,
343,0.002369257,,,
344,0.002369257,,,
345,0.002889338,,,
346,0.002889338,,,
347,0.002889338,,,
348,0.002889338,,,
349,0.002889338,,,
350,0.002369257,,,
351,0.002369257,,,
352,0.002889338,,,
353,0.002889338,,,
354,0.002889338,,,
355,0.002889338,,,
356,0.002889338,,,
357,0.002369257,,,
358,0.002369257,,,
359,0.002889338,,,
360,0.002889338,,,
361,0.002889338,,,
362,0.002889338,,,
363,0.002889338,,,
364,0.002369257,,,
365,0.002369257,,,
