Vehicle Model,MPG_city,MPG_hw
'INFINITI Q50 3 6 SemiAuto-7 2WD MPG(20 city/29 hw)',20,29
'INFINITI Q50 3 6 SemiAuto-7 4WD MPG(19 city/27 hw)',19,27
'INFINITI Q50 Red Sport 3 6 SemiAuto-7 2WD MPG(20 city/26 hw)',20,26
'INFINITI Q50 Red Sport 3 6 SemiAuto-7 4WD MPG(19 city/26 hw)',19,26
'INFINITI Q70 3.7 6 SemiAuto-7 2WD MPG(18 city/25 hw)',18,25
'INFINITI Q70 3.7 6 SemiAuto-7 4WD MPG(18 city/24 hw)',18,24
'INFINITI Q70 5.6 8 SemiAuto-7 2WD MPG(16 city/24 hw)',16,24
'INFINITI Q70 5.6 8 SemiAuto-7 4WD MPG(16 city/23 hw)',16,23
'JAGUAR XF 2 4 SemiAuto-8 2WD MPG(25 city/34 hw)',25,34
'JAGUAR XF 2 4 SemiAuto-8 4WD MPG(23 city/33 hw)',23,33
'JAGUAR XF 3 6 SemiAuto-8 2WD MPG(20 city/29 hw)',20,29
'JAGUAR XF 3 6 SemiAuto-8 4WD MPG(20 city/28 hw)',20,28
'KIA Forte 2 4 CVT 2WD MPG(30 city/40 hw)',30,40
'KIA Forte 2 4 Man-6 2WD MPG(27 city/37 hw)',27,37
'KIA Forte FE 2 4 CVT 2WD MPG(31 city/41 hw)',31,41
'KIA Stinger 2 4 SemiAuto-8 2WD MPG(22 city/29 hw)',22,29
'KIA Stinger 2 4 SemiAuto-8 4WD MPG(21 city/29 hw)',21,29
'KIA Stinger 3.3 6 SemiAuto-8 2WD MPG(17 city/25 hw)',17,25
'KIA Stinger 3.3 6 SemiAuto-8 4WD MPG(17 city/25 hw)',17,25
'LEXUS ES 300h 2.5 4 SCV-6 2WD MPG(43 city/45 hw)',43,45
'LEXUS ES 350 3.5 6 SemiAuto-8 2WD MPG(22 city/33 hw)',22,33
'LEXUS ES 350 F Sport 3.5 6 SemiAuto-8 2WD MPG(22 city/31 hw)',22,31
'LEXUS GS 300 2 4 SemiAuto-8 2WD MPG(22 city/32 hw)',22,32
'LEXUS GS 300 F Sport 2 4 SemiAuto-8 2WD MPG(21 city/30 hw)',21,30
'LEXUS GS 350 3.5 6 SemiAuto-6 4WD MPG(19 city/26 hw)',19,26
'LEXUS GS 350 3.5 6 SemiAuto-8 2WD MPG(20 city/28 hw)',20,28
'LEXUS GS 350 F Sport 3.5 6 SemiAuto-8 2WD MPG(19 city/27 hw)',19,27
'LEXUS LS 500 3.4 6 SemiAuto-10 2WD MPG(19 city/30 hw)',19,30
'LEXUS LS 500 3.4 6 SemiAuto-10 4WD MPG(18 city/27 hw)',18,27
'LEXUS LS 500h 3.5 6 SCV-10 2WD MPG(25 city/33 hw)',25,33
'LEXUS LS 500h 3.5 6 SCV-10 4WD MPG(23 city/31 hw)',23,31
'LEXUS UX 200 2 4 SCV-10 2WD MPG(29 city/37 hw)',29,37
'LINCOLN MKZ 2 4 SemiAuto-6 2WD MPG(20 city/31 hw)',20,31
'LINCOLN MKZ 2 4 SemiAuto-6 4WD MPG(20 city/29 hw)',20,29
'LINCOLN MKZ 3 6 SemiAuto-6 2WD MPG(18 city/27 hw)',18,27
'LINCOLN MKZ 3 6 SemiAuto-6 4WD MPG(17 city/26 hw)',17,26
'MASERATI Ghibli 3 6 Auto-8 2WD MPG(17 city/24 hw)',17,24
'MASERATI Ghibli S 3 6 Auto-8 2WD MPG(16 city/24 hw)',16,24
'MASERATI Ghibli S Q4 3 6 Auto-8 4WD MPG(16 city/24 hw)',16,24
'MAZDA 6 2.5 4 Man-6 2WD MPG(24 city/33 hw)',24,33
'MAZDA 6 2.5 4 SemiAuto-6 2WD MPG(26 city/35 hw)',26,35
'MAZDA 6 2.5 4 SemiAuto-6 2WD MPG(23 city/31 hw)',23,31
'MAZDA Mazda3 2.5 4 Man-6 2WD MPG(25 city/35 hw)',25,35
'MAZDA Mazda3 2.5 4 SemiAuto-6 2WD MPG(26 city/35 hw)',26,35
'MAZDA Mazda3 2.5 4 SemiAuto-6 4WD MPG(24 city/32 hw)',24,32
'MERCEDES-BENZ AMG E53 4Matic+ 3 6 Auto-9 4WD MPG(21 city/28 hw)',21,28
'MERCEDES-BENZ AMG E63 S 4Matic 4 8 Auto-9 4WD MPG(15 city/23 hw)',15,23
'MERCEDES-BENZ E300 2 4 Auto-9 2WD MPG(21 city/30 hw)',21,30
'MERCEDES-BENZ E300 4Matic 2 4 Auto-9 4WD MPG(21 city/29 hw)',21,29
'MERCEDES-BENZ E450 4Matic 3 6 Auto-9 4WD MPG(20 city/28 hw)',20,28
'MINI Cooper Clubman 1.5 3 Man-6 2WD MPG(24 city/33 hw)',24,33
'MINI Cooper Clubman 1.5 3 SemiAuto-6 2WD MPG(24 city/32 hw)',24,32
'MINI Cooper Clubman All4 1.5 3 Man-6 4WD MPG(22 city/32 hw)',22,32
'MINI Cooper Clubman All4 1.5 3 SemiAuto-8 4WD MPG(23 city/31 hw)',23,31
'MINI Cooper Countryman 1.5 3 Man-6 2WD MPG(24 city/33 hw)',24,33
'MINI Cooper Countryman 1.5 3 SemiAuto-6 2WD MPG(24 city/32 hw)',24,32
'MINI Cooper Countryman All4 1.5 3 Man-6 4WD MPG(22 city/32 hw)',22,32
