Orlando,Atlanta,Austin,Phoenix,LA,Charlotte,Nashville,Baltimore,St. Louis,Kansas City,San Francisco,Boston,Salt Lake City,Minneapolis,New York,San Diego,Minneapolis TMY,Boston TMY
25,23.33333333,25,27.77777778,18.88888889,25,27.77777778,26.66666667,25.55555556,23.33333333,18.33333333,21.7,20,22.22222222,27.77777778,20,24,24
26.66666667,24.44444444,27.22222222,30,20,27.22222222,28.88888889,28.88888889,27.22222222,25,18.88888889,22.2,23.3,23.88888889,29.44444444,20.55555556,25,26
28.33333333,25.55555556,29.44444444,32.22222222,20.55555556,29.44444444,30.55555556,31.66666667,28.33333333,26.66666667,20,22.8,25.6,25,30,21.11111111,26,27
30,25,30.55555556,34.44444444,21.11111111,30,31.11111111,33.88888889,29.44444444,26.66666667,21.11111111,22.8,26.7,26.11111111,30.55555556,22.22222222,27,28
31.11111111,26.11111111,32.22222222,36.66666667,21.11111111,30.55555556,33.33333333,34.44444444,29.44444444,27.77777778,21.66666667,23.3,28.9,27.77777778,31.11111111,22.22222222,28,28
31.66666667,27.22222222,34.44444444,37.77777778,22.22222222,30.55555556,30.55555556,36.11111111,31.11111111,28.88888889,22.77777778,23.3,29.4,28.88888889,31.66666667,22.77777778,29,29
32.22222222,28.33333333,35,39.44444444,21.66666667,31.11111111,26.66666667,36.66666667,32.22222222,29.44444444,24.44444444,23.9,30.6,30,31.66666667,23.33333333,29,28
33.33333333,29.44444444,35.55555556,40.55555556,21.11111111,31.66666667,27.22222222,35,30.55555556,30,24.44444444,23.3,31.7,30.55555556,31.66666667,23.88888889,30,28
33.88888889,30.55555556,37.22222222,41.11111111,21.66666667,31.66666667,30.55555556,35.55555556,31.11111111,30,23.33333333,23.9,32.8,30.55555556,30.55555556,22.77777778,30,27
29.44444444,30,37.77777778,41.66666667,21.11111111,33.33333333,29.44444444,35,30.55555556,30.55555556,22.77777778,23.9,32.8,30.55555556,28.33333333,22.22222222,29,27
30.55555556,30,37.22222222,41.66666667,20.55555556,32.22222222,30.55555556,35,30.55555556,30.55555556,21.66666667,25,33.3,30.55555556,28.33333333,21.11111111,29,26
31.11111111,30.55555556,36.66666667,40.55555556,20,30.55555556,28.33333333,33.33333333,30,30,20.55555556,26.7,31.7,30,28.33333333,21.11111111,28,25
29.44444444,29.44444444,35,40.55555556,19.44444444,29.44444444,27.22222222,32.22222222,30,28.88888889,19.44444444,26.7,30.6,28.88888889,27.22222222,20,27,24
28.33333333,28.33333333,32.77777778,39.44444444,18.88888889,26.66666667,26.66666667,30.55555556,28.88888889,27.77777778,18.88888889,28.3,30,27.77777778,26.11111111,20,25,23
27.22222222,27.77777778,30.55555556,37.22222222,18.88888889,26.11111111,26.11111111,29.44444444,27.77777778,26.66666667,17.77777778,27.2,29.4,26.66666667,25.55555556,19.44444444,24,22
26.11111111,27.22222222,29.44444444,35,18.88888889,25.55555556,26.11111111,28.33333333,27.22222222,25.55555556,17.22222222,26.1,28.3,25.55555556,25,19.44444444,24,21
26.11111111,27.22222222,28.33333333,34.44444444,18.33333333,25,25.55555556,27.77777778,26.11111111,25,17.22222222,25,26.7,25,24.44444444,19.44444444,24,21
26.11111111,26.11111111,27.22222222,34.44444444,18.33333333,23.88888889,26.11111111,27.22222222,25.55555556,22.77777778,17.22222222,23.9,23.9,23.88888889,24.44444444,19.44444444,23,21
25.55555556,25.55555556,25.55555556,33.88888889,18.33333333,25,25.55555556,26.66666667,25.55555556,22.77777778,17.77777778,23.3,22.2,23.33333333,24.44444444,18.88888889,22,21
25.55555556,24.44444444,25.55555556,32.22222222,18.33333333,23.88888889,25,25.55555556,25.55555556,23.88888889,16.66666667,22.8,21.7,23.33333333,24.44444444,18.88888889,22,21
25.55555556,23.88888889,25,30,18.88888889,22.77777778,25,25,25,22.77777778,17.22222222,22.8,21.7,22.22222222,23.88888889,18.88888889,21,21
25.55555556,23.33333333,23.88888889,28.88888889,18.88888889,23.33333333,24.44444444,25,24.44444444,23.33333333,17.22222222,22.8,21.1,22.22222222,23.88888889,18.88888889,21,21
25.55555556,23.33333333,23.88888889,27.77777778,18.88888889,22.22222222,24.44444444,25,24.44444444,23.33333333,16.66666667,23.3,21.1,21.66666667,23.33333333,18.88888889,21,21
25.55555556,23.33333333,23.33333333,28.33333333,18.88888889,23.33333333,25.55555556,26.66666667,24.44444444,23.33333333,16.66666667,25,26.1,21.66666667,23.88888889,19.44444444,21,22
26.66666667,23.33333333,25,29.44444444,19.44444444,25.55555556,26.66666667,28.88888889,26.11111111,25,18.33333333,26.7,22.2,21.66666667,23.88888889,19.44444444,22,23
26.66666667,25.55555556,27.77777778,32.22222222,20.55555556,28.88888889,29.44444444,31.11111111,27.77777778,26.66666667,19.44444444,29.4,24.4,21.11111111,26.11111111,20.55555556,23,24
28.88888889,27.77777778,29.44444444,33.88888889,22.77777778,31.11111111,31.11111111,32.22222222,28.88888889,28.88888889,21.11111111,31.1,26.1,21.66666667,26.66666667,20.55555556,23,25
30,29.44444444,31.11111111,36.66666667,22.77777778,32.77777778,32.22222222,33.88888889,31.11111111,30.55555556,21.66666667,31.7,28.3,21.11111111,27.22222222,20.55555556,23,26
30.55555556,30.55555556,32.77777778,37.77777778,22.22222222,33.88888889,30,35,31.66666667,32.22222222,23.33333333,33.9,29.4,22.22222222,27.77777778,22.22222222,24,26
31.11111111,31.66666667,35,40,22.22222222,34.44444444,28.88888889,35,32.22222222,32.77777778,23.33333333,35,26.1,23.33333333,28.33333333,22.22222222,26,27
31.66666667,32.22222222,35.55555556,41.11111111,22.22222222,35.55555556,32.77777778,36.11111111,33.33333333,33.88888889,23.88888889,36.1,27.2,24.44444444,29.44444444,22.22222222,28,27
33.33333333,32.22222222,36.66666667,41.66666667,22.22222222,34.44444444,33.88888889,35,32.77777778,33.88888889,23.88888889,35,30,23.88888889,27.22222222,22.22222222,29,27
28.88888889,32.77777778,37.22222222,42.77777778,21.66666667,35,33.88888889,36.11111111,31.66666667,34.44444444,23.33333333,35.6,28.9,28.88888889,26.66666667,22.22222222,30,27
27.77777778,32.77777778,38.33333333,42.22222222,22.22222222,35,32.22222222,35.55555556,31.66666667,34.44444444,22.77777778,35.6,29.4,30,26.66666667,22.22222222,29,27
28.33333333,32.22222222,37.77777778,41.66666667,21.11111111,35.55555556,30,36.11111111,28.33333333,33.88888889,22.22222222,35,28.9,30.55555556,26.11111111,21.11111111,28,26
30,32.22222222,37.22222222,41.11111111,20,35,30,33.33333333,26.66666667,32.77777778,21.11111111,32.8,28.9,30,25.55555556,20.55555556,27,25
28.88888889,31.66666667,36.66666667,40,19.44444444,33.88888889,29.44444444,31.11111111,27.22222222,31.66666667,20.55555556,30,27.2,28.88888889,25.55555556,20,24,24
27.77777778,30.55555556,33.33333333,38.33333333,18.88888889,32.77777778,27.22222222,30,26.66666667,30,19.44444444,27.2,26.1,27.77777778,25.55555556,19.44444444,21,23
26.66666667,30.55555556,31.66666667,37.22222222,18.33333333,31.66666667,27.77777778,28.88888889,26.66666667,30,18.88888889,27.2,21.7,26.66666667,25,18.88888889,19,22
27.22222222,28.88888889,30,35.55555556,18.33333333,31.11111111,27.22222222,24.44444444,26.66666667,28.88888889,18.33333333,28.9,21.7,26.11111111,25,18.88888889,18,22
26.66666667,27.77777778,28.88888889,35,18.33333333,30,26.11111111,24.44444444,26.11111111,28.33333333,18.33333333,28.3,19.4,25.55555556,25,18.88888889,17,21
26.11111111,26.66666667,28.33333333,34.44444444,18.33333333,28.88888889,26.11111111,26.11111111,25.55555556,26.66666667,18.33333333,28.3,18.9,25,24.44444444,18.88888889,16,21
25.55555556,26.11111111,27.22222222,33.88888889,18.88888889,26.11111111,24.44444444,26.66666667,26.66666667,26.66666667,17.77777778,28.3,18.3,24.44444444,24.44444444,18.88888889,15,21
25,25.55555556,26.11111111,32.77777778,18.33333333,25.55555556,24.44444444,25.55555556,26.11111111,25,17.77777778,27.8,17.2,24.44444444,24.44444444,18.88888889,14,21
25,25,25.55555556,32.77777778,18.88888889,25.55555556,24.44444444,23.88888889,26.11111111,23.88888889,17.22222222,28.3,17.8,24.44444444,23.88888889,18.88888889,14,21
24.44444444,24.44444444,25,31.11111111,18.88888889,25,23.88888889,25,26.11111111,23.88888889,17.22222222,27.2,16.7,24.44444444,23.88888889,18.88888889,14,21
24.44444444,24.44444444,25.55555556,31.11111111,18.88888889,23.33333333,23.88888889,23.88888889,25.55555556,23.88888889,17.22222222,27.2,15.6,24.44444444,23.88888889,18.88888889,14,21
24.44444444,24.44444444,24.44444444,30.55555556,18.88888889,24.44444444,25.55555556,25,26.66666667,25,17.77777778,27.8,17.2,25,25,19.44444444,16,21
25,25.55555556,25,31.11111111,20,26.11111111,28.33333333,27.22222222,28.33333333,26.11111111,18.33333333,28.9,20,26.11111111,25,19.44444444,18,22
26.66666667,24.44444444,26.11111111,32.77777778,21.11111111,27.22222222,30.55555556,28.33333333,30,27.77777778,18.88888889,29.4,22.2,27.22222222,26.11111111,20.55555556,21,22
28.88888889,26.11111111,27.22222222,33.88888889,22.77777778,28.33333333,31.66666667,29.44444444,31.11111111,28.88888889,20,30.6,23.9,22.22222222,26.11111111,21.66666667,24,23
28.88888889,29.44444444,28.88888889,35.55555556,22.77777778,30,33.88888889,31.11111111,32.22222222,30,21.11111111,30.6,26.7,22.22222222,28.33333333,22.22222222,25,23
29.44444444,30.55555556,31.11111111,37.22222222,22.77777778,30.55555556,35,31.66666667,33.33333333,30.55555556,22.22222222,30,30.6,23.33333333,30,23.33333333,26,23
25,31.11111111,34.44444444,38.33333333,22.77777778,31.11111111,36.11111111,32.77777778,33.33333333,32.22222222,22.77777778,30,32.2,25.55555556,29.44444444,23.88888889,27,22
22.22222222,31.66666667,36.66666667,38.33333333,23.33333333,31.66666667,36.11111111,33.88888889,34.44444444,32.77777778,23.33333333,30,33.3,26.66666667,29.44444444,23.88888889,27,22
24.44444444,31.11111111,25,38.88888889,23.33333333,32.77777778,36.11111111,33.33333333,33.88888889,33.33333333,23.88888889,30.6,35,22.77777778,28.88888889,23.33333333,28,21
26.66666667,31.66666667,24.44444444,40,22.77777778,32.22222222,36.66666667,33.88888889,33.33333333,32.77777778,23.88888889,30.6,34.4,23.88888889,27.22222222,22.77777778,28,20
26.66666667,32.22222222,24.44444444,41.11111111,22.22222222,32.77777778,36.11111111,32.22222222,34.44444444,32.77777778,24.44444444,28.9,35,25.55555556,27.22222222,22.22222222,27,20
27.22222222,30,23.88888889,41.11111111,21.66666667,32.77777778,35.55555556,31.11111111,34.44444444,32.77777778,23.88888889,29.4,35,26.66666667,27.22222222,22.22222222,26,19
27.77777778,30,24.44444444,40.55555556,20.55555556,32.77777778,34.44444444,31.11111111,33.33333333,32.22222222,23.33333333,29.4,33.9,26.11111111,26.11111111,21.66666667,25,19
27.22222222,29.44444444,24.44444444,40.55555556,20,32.22222222,33.33333333,30,32.77777778,30.55555556,20.55555556,26.7,33.3,25.55555556,25.55555556,20.55555556,23,18
24.44444444,28.88888889,23.88888889,39.44444444,19.44444444,31.66666667,31.66666667,30,31.66666667,28.33333333,18.33333333,24.4,28.9,24.44444444,25.55555556,20,21,18
23.88888889,23.88888889,23.33333333,38.88888889,19.44444444,31.11111111,30.55555556,28.88888889,31.11111111,28.88888889,17.77777778,24.4,26.1,23.33333333,25.55555556,19.44444444,19,17
