Processes,China,India,United States,Global,EU-27,Gulf Cooperation Council region,Australia,Indonesia,Units,,,model varify,Global,EU-27,,,,,,,,
Bauxite production,,,,IAI: World,,,,,,,,,,,,,,,,,,
Aluminum fluoride,0.0243,,,0.0167,0.0164,0.01616,,0.002,tonne,,,Aluminum fluoride,0.0167,0.0164,tonne,,,,,,,
Cathode carbon,,,,0.006,0.0055,1.07435,,,tonne,,,Cathode carbon,0.006,0.0055,tonne,,,,,,,
Steel,,,,0.0054,0.0053,0.01264,,,tonne,,,Steel,0.0054,0.0053,tonne,,,,,,,
Diesel,0.00145,,,,,,,0.03172028,tonne,,,Diesel,,,tonne,,,,,,,
Coal,0.00572,,,,,,,,tonne,,,Coal,,,tonne,,,,,,,
Electricity,13000,,,14210,14790,15538.85134,,15700,kWh,,,Electricity,14210,14790,kWh,51.156,53.244,GJ,6.3945,3.34159344,tonne CO2,
Outputs,,,,,,,,,,,,Outputs,,,,,,,,,,
Aluminum,0.9,,,1,1,1.0185,,1,tonne,,,Aluminum,1,1,tonne,,,Total CO2,10.26421921,6.224215248,tonne CO2,
CF4,,,,0.0000741,0.0000179,,,,tonne,,,,0.491283,0.118677,tonne co2,52.88208309,54.3740885,GJ,,,,
C2F6,,,,0.00000425,0.00000205,,,,tonne,,,,0.047175,0.022755,tonne co2,,,co2 emission by source,,,,
,,,,,,,,,,,,,78.83333995,73.3607068,GJ,,,coal,1.616465277,0,tonne CO2,
Ingot production,,,,,,,,,,,,,,,,,,heavy oil,0.211379238,0.035091632,tonne CO2,
Inputs,,,,,,,,,,,,,,,,,,diesel oil,0.0429159,0.026976214,tonne CO2,
Liquid aluminum,0.9,,,1,0.912,1.0185,,1,tonne,,,,,,,,,ng,0.37243741,1.127514607,tonne CO2,
Silicon,0.12,,,,,0.038,,,,,,,,,,,,steam,-1E-16,0,tonne CO2,
Copper,0.008,,,,,,,,,,,,,,,,,delectricity,6.610260386,3.412517794,tonne CO2,
Remelt ingot,,,,,0.069,,,,tonne,,,,,,,,,Anode carbon,1.410761,1.622115,tonne CO2,
Al scrap,,,,,0.023,0.108,,,tonne,,,,,,,,,Total,10.26421921,6.224215248,tonne CO2,
Alloy additives,,,,,0.023,0.01505,,,tonne,,,,,,,,,,,,,
Total Al replacement,,,,,0.115,0.16105,,,tonne,,,,,,,,,,,,,
Chlorine,,,,0.00001,0.00005,0.000055,,,tonne,,,,,,,,,,3.653958824,2.811697453,,
Argon,,,,,0.0056,0.00098,,,tonne,,,,,,,,,,,,,
Steel sheet,,,,,,0.032,,,tonne,,,,,,,,,,,,,
Nitrogen,0.003125,,,,0.00002,,,,tonne,,,,,,,,,,,,,
Coal,,,,0,0,,,,MJ,,,,,,,,,,,,,
Heavy oil,,,,51,99,314.699,,,MJ,,,,,,,,,,,,,
Diesel oil,,,,21,1,3.31,,,MJ,,,,,,,,,,,,,
Natural gas,2990.13,,,832,1504,1004.85,,,MJ,,,,,,,,,,,,,
Total thermal energy,,,,905,1604,1322.859,,,MJ,,,,,,,,,,,,,
Electricity,36,,,53,95,70.244508,,,kWh,,,,,,,,,,,,,
Outputs,,,,,,,,,,,,,,,,,,,,,,
Aluminum ingot,1,,,1,1,1.0034,,1,tonne,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CO2 conversion factor for fuels,,,,,,,,,,,,,,,,,,,,,,
Heavy oil/fuel oil,,,,,0.0851,,,,kg CO2/MJ,,,,,,,,,,,,,
Natural gas,,,,,0.0632,,,,kg CO2/MJ,,,,,,,,,,,,,
Hard coal,,,,,0.0979,,,,kg CO2/MJ,,,,,,,,,,,,,
Diesel/light oil,,,,,0.0826,,,,kg CO2/MJ,,,,,,,,,,,,,
steam,,,,,0.0702,,,,kg CO2/MJ,,,,,,,,,,,,,
Data base year,2010,,,2015,2015,2014,2005,2013,,,,,,,,,,,,,,
source:,"Hong, Jingmin, et al. ""Environmental and economic life cycle assessment of aluminum-silicon alloys production: a case study in China."" Journal of Cleaner Production 24 (2012): 11-19.",,,,European Aluminum Industry: https://european-aluminium.eu/media/3321/full-environmental-profile-report-2018.pdf,https://publications.waset.org/9997980/pdf,"Norgate, Terry, and Nawshad Haque. ""Energy and greenhouse gas impacts of mining and mineral processing operations."" Journal of Cleaner Production 18.3 (2010): 266-274.",http://www.ipcbee.com/vol70/011-ICEEB2014-R0004.pdf,,,,,,,,,,,,,,
Note,,,,,Environmental data related to year 2015,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Bauxite composition,wt.%,,,,,,,,,,,,,,,,,,,,,
Diaspore,11,,,,,,,,,,,,,,,,,,,,,
Gibbsite,44,,,,,,,,,,,,,,,,,,,,,
hematite,11,,,,,,,,,,,,,,,,,,,,,
Silica,8,,,,,,,,,,,,,,,,,,,,,
Rutile,5,,,,,,,,,,,,,,,,,,,,,
Anorthite,5,,,,,,,,,,,,,,,,,,,,,
Kaolin,6,,,,,,,,,,,,,,,,,,,,,
water,10,,,,,,,,,,,,,,,,,,,,,
"capex, opex is also considered",,,,,,,,,,,,,,,,,,,,,,
"Note: Intelligen Inc. provide process simulation and production shceduling tools and services for process industries. Headquartered in New Jersey, US. ",,,,,,,,,,,,,,,,,,,,,,
"source: Intelligen, Inc.: https://www.researchgate.net/profile/Demetri-Petrides/publication/351428524_Aluminum_Aluminium_Production_Utilizing_the_Bayer_and_Hall-Heroult_Process_-_Modeling_and_Techno-Economic_Assessment_TEA_using_SuperPro_Designer/links/6096f1e5a6fdccaebd196db2/Aluminum-Aluminium-Production-Utilizing-the-Bayer-and-Hall-Heroult-Process-Modeling-and-Techno-Economic-Assessment-TEA-using-SuperPro-Designer.pdf",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Assumptions,Value,Units,Source,,,,,,,,,,,,,,,,,,,
Natural gas,49.5,MJ/kg,,,,,,,,,,,,,,,,,,,,
Natural gas,39,MJ/Nm3,https://www.unitrove.com/engineering/tools/gas/natural-gas-calorific-value,,,,,,,,,,,,,,,,,,,
Diesel,36,MJ/L,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,,,,,,,,,,,,,,
Diesel,42.9,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,,,,,,,,,,,,,,
Crude oil,36.84,MJ/L,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,,,,,,,,,,,,,,
Crude oil,43.05,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,,,,,,,,,,,,,,
Coal,27.05,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,,,,,,,,,,,,,,
Steam,25.86,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,,,,,,,,,,,,,,
Fuel oil,40.87,MJ/kg,https://www.claverton-energy.com/wordpress/wp-content/uploads/2012/08/the_energy_and_fuel_data_sheet1.pdf,,,,,,,,,,,,,,,,,,,
Equivalent,,,,,,,,,,,,,,,,,,,,,,
CF4,6630,tonne CO2/tonne CF4,Microsoft Word - Global-Warming-Potential-Values.docx (ghgprotocol.org),,,,,,,,,,,,,,,,,,,
C2F6,11100,tonne CO2/tonne C2F6,Microsoft Word - Global-Warming-Potential-Values.docx (ghgprotocol.org),,,,,,,,,,,,,,,,,,,
