gen type,solar - FRCC,solar - MRO,solar - NPCC,solar - RFC,solar - SERC north,solar - SERC south,solar - SPP,solar - TRE,solar - WECC north,solar - WECC south,solar - WECC west,wind - FRCC,wind - MRO,wind - NPCC,wind - RFC,wind - SERC north,wind - SERC south,wind - SPP,wind - TRE,wind - WECC north,wind - WECC south
7050,0,0,0,0,0,0,0,0,0,0,0,1.332828643,1.332828643,1.332828643,1.332828643,1.332828643,1.332828643,1.332828643,1.332828643,1.332828643,1.332828643
7051,0,0,0,0,0,0,0,0,0,0,0,1.270134612,1.270134612,1.270134612,1.270134612,1.270134612,1.270134612,1.270134612,1.270134612,1.270134612,1.270134612
7052,0,0,0,0,0,0,0,0,0,0,0,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653
7053,0,0,0,0,0,0,0,0,0,0,0,1.026324495,1.026324495,1.026324495,1.026324495,1.026324495,1.026324495,1.026324495,1.026324495,1.026324495,1.026324495
7054,0,0,0,0,0,0,0,0,0,0,0,1.133136546,1.133136546,1.133136546,1.133136546,1.133136546,1.133136546,1.133136546,1.133136546,1.133136546,1.133136546
7055,0,0,0,0,0,0,0,0,0,0,0,1.024002494,1.024002494,1.024002494,1.024002494,1.024002494,1.024002494,1.024002494,1.024002494,1.024002494,1.024002494
7056,0,0,0,0,0,0,0,0,0,0,0,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429,0.889326429
7057,0,0,0,0,0,0,0,0,0,0,0,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421,0.873072421
7058,0,0,0,0,0,0,0,0,0,0,0,0.900936434,0.900936434,0.900936434,0.900936434,0.900936434,0.900936434,0.900936434,0.900936434,0.900936434,0.900936434
7059,0,0,0,0,0,0,0,0,0,0,0,0.89164843,0.89164843,0.89164843,0.89164843,0.89164843,0.89164843,0.89164843,0.89164843,0.89164843,0.89164843
7060,0,0,0,0,0,0,0,0,0,0,0,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455
7061,0,0,0,0,0,0,0,0,0,0,0,0.993816479,0.993816479,0.993816479,0.993816479,0.993816479,0.993816479,0.993816479,0.993816479,0.993816479,0.993816479
7062,0.004826805,0.004826805,0.004826805,0.004826805,0.004826805,0.004826805,0.004826805,0.004826805,0.004826805,0,0,0.986850476,0.986850476,0.986850476,0.986850476,0.986850476,0.986850476,0.986850476,0.986850476,0.986850476,0.986850476
7063,0.202725823,0.202725823,0.202725823,0.202725823,0.202725823,0.202725823,0.202725823,0.202725823,0.202725823,1.09976482,1.09976482,0.972918469,0.972918469,0.972918469,0.972918469,0.972918469,0.972918469,0.972918469,0.972918469,0.972918469,0.972918469
7064,0.767462043,0.767462043,0.767462043,0.767462043,0.767462043,0.767462043,0.767462043,0.767462043,0.767462043,2.259083692,2.259083692,0.919512443,0.919512443,0.919512443,0.919512443,0.919512443,0.919512443,0.919512443,0.919512443,0.919512443,0.919512443
7065,1.481829227,1.481829227,1.481829227,1.481829227,1.481829227,1.481829227,1.481829227,1.481829227,1.481829227,2.747426916,2.747426916,0.961308464,0.961308464,0.961308464,0.961308464,0.961308464,0.961308464,0.961308464,0.961308464,0.961308464,0.961308464
7066,2.452017092,2.452017092,2.452017092,2.452017092,2.452017092,2.452017092,2.452017092,2.452017092,2.452017092,2.965791772,2.965791772,1.003104484,1.003104484,1.003104484,1.003104484,1.003104484,1.003104484,1.003104484,1.003104484,1.003104484,1.003104484
7067,2.147928358,2.147928358,2.147928358,2.147928358,2.147928358,2.147928358,2.147928358,2.147928358,2.147928358,3.017405283,3.017405283,1.012392488,1.012392488,1.012392488,1.012392488,1.012392488,1.012392488,1.012392488,1.012392488,1.012392488,1.012392488
7068,0.936400228,0.936400228,0.936400228,0.936400228,0.936400228,0.936400228,0.936400228,0.936400228,0.936400228,3.049167444,3.049167444,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653,1.09830653
7069,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,0.473026919,3.096810686,3.096810686,1.177254568,1.177254568,1.177254568,1.177254568,1.177254568,1.177254568,1.177254568,1.177254568,1.177254568,1.177254568
7070,0.284781513,0.284781513,0.284781513,0.284781513,0.284781513,0.284781513,0.284781513,0.284781513,0.284781513,3.037256634,3.037256634,1.11920454,1.11920454,1.11920454,1.11920454,1.11920454,1.11920454,1.11920454,1.11920454,1.11920454,1.11920454
7071,0.16411138,0.16411138,0.16411138,0.16411138,0.16411138,0.16411138,0.16411138,0.16411138,0.16411138,2.87844583,2.87844583,0.958986462,0.958986462,0.958986462,0.958986462,0.958986462,0.958986462,0.958986462,0.958986462,0.958986462,0.958986462
7072,0.057921664,0.057921664,0.057921664,0.057921664,0.057921664,0.057921664,0.057921664,0.057921664,0.057921664,2.54097287,2.54097287,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455,0.942732455
