Turbine,census_region,state,p,interconnect,country,reg_cap_cost_mult,source
Gas Turbine,WNC,NE,p40,eastern,usa,1.0204665,EIA
Combined Cycle,WNC,NE,p41,eastern,usa,0.988768,EIA
Gas Turbine,WNC,NE,p41,eastern,usa,1.0029705,EIA
Combined Cycle,WNC,MN,p42,eastern,usa,1.0033165,EIA
Gas Turbine,WNC,MN,p42,eastern,usa,1.017985,EIA
Combined Cycle,WNC,MN,p43,eastern,usa,1.02483,EIA
Gas Turbine,WNC,MN,p43,eastern,usa,1.02913,EIA
Combined Cycle,WNC,MN,p44,eastern,usa,1.01168,EIA
Gas Turbine,WNC,MN,p44,eastern,usa,1.02161,EIA
Combined Cycle,WNC,IA,p45,eastern,usa,0.9936645,EIA
Gas Turbine,WNC,IA,p45,eastern,usa,1.00632,EIA
Combined Cycle,ENC,WI,p46,eastern,usa,1.02729,EIA
Gas Turbine,ENC,WI,p46,eastern,usa,1.02982,EIA
Combined Cycle,WSC,NM,p47,eastern,usa,0.9846425,EIA
Gas Turbine,WSC,NM,p47,eastern,usa,1.013627,EIA
Combined Cycle,WSC,TX,p48,eastern,usa,0.979553,EIA
Gas Turbine,WSC,TX,p48,eastern,usa,1.0090155,EIA
Combined Cycle,WSC,OK,p49,eastern,usa,0.984387,EIA
Gas Turbine,WSC,OK,p49,eastern,usa,1.0157595,EIA
Combined Cycle,WSC,OK,p50,eastern,usa,0.9617385,EIA
Gas Turbine,WSC,OK,p50,eastern,usa,0.986632,EIA
Combined Cycle,WSC,OK,p51,eastern,usa,0.9640825,EIA
Gas Turbine,WSC,OK,p51,eastern,usa,0.983686,EIA
Combined Cycle,WNC,KS,p52,eastern,usa,0.992698,EIA
Gas Turbine,WNC,KS,p52,eastern,usa,1.029046,EIA
Combined Cycle,WNC,KS,p53,eastern,usa,0.9800445,EIA
Gas Turbine,WNC,KS,p53,eastern,usa,0.9992085,EIA
Combined Cycle,WNC,MO,p54,eastern,usa,1.0000965,EIA
Gas Turbine,WNC,MO,p54,eastern,usa,1.00597,EIA
Combined Cycle,WNC,MO,p55,eastern,usa,0.984419,EIA
Gas Turbine,WNC,MO,p55,eastern,usa,0.9966745,EIA
Combined Cycle,WSC,AR,p56,eastern,usa,0.9481715,EIA
Gas Turbine,WSC,AR,p56,eastern,usa,0.974432,EIA
Combined Cycle,WSC,TX,p57,eastern,usa,0.930915,EIA
Gas Turbine,WSC,TX,p57,eastern,usa,0.9592335,EIA
Combined Cycle,WSC,LA,p58,eastern,usa,0.905477,EIA
Gas Turbine,WSC,LA,p58,eastern,usa,0.9409195,EIA
Combined Cycle,MTN,TX,p59,WSCC,usa,1.009082,EIA
Gas Turbine,MTN,TX,p59,WSCC,usa,1.02174,EIA
Combined Cycle,WSC,TX,p60,texas,usa,0.966952,EIA
Gas Turbine,WSC,TX,p60,texas,usa,0.9946505,EIA
Combined Cycle,WSC,TX,p61,texas,usa,0.9718115,EIA
Gas Turbine,WSC,TX,p61,texas,usa,0.9960715,EIA
Combined Cycle,WSC,TX,p62,texas,usa,0.970786,EIA
Gas Turbine,WSC,TX,p62,texas,usa,0.998222,EIA
Combined Cycle,WSC,TX,p63,texas,usa,0.936866,EIA
Gas Turbine,WSC,TX,p63,texas,usa,0.964133,EIA
Combined Cycle,WSC,TX,p64,texas,usa,0.925679,EIA
Gas Turbine,WSC,TX,p64,texas,usa,0.9501755,EIA
Combined Cycle,WSC,TX,p65,texas,usa,0.9257505,EIA
Gas Turbine,WSC,TX,p65,texas,usa,0.9496605,EIA
Combined Cycle,WSC,TX,p66,eastern,usa,0.9114765,EIA
Gas Turbine,WSC,TX,p66,eastern,usa,0.9373585,EIA
Combined Cycle,WSC,TX,p67,texas,usa,0.905352,EIA
Gas Turbine,WSC,TX,p67,texas,usa,0.9283265,EIA
Combined Cycle,WNC,MN,p68,eastern,usa,1.01415,EIA
Gas Turbine,WNC,MN,p68,eastern,usa,1.02025,EIA
Combined Cycle,WNC,IA,p69,eastern,usa,0.983154,EIA
Gas Turbine,WNC,IA,p69,eastern,usa,0.9973295,EIA
Combined Cycle,WNC,IA,p70,eastern,usa,0.993932,EIA
Gas Turbine,WNC,IA,p70,eastern,usa,1.005295,EIA
Combined Cycle,WNC,MO,p71,eastern,usa,1.006475,EIA
Gas Turbine,WNC,MO,p71,eastern,usa,1.01291,EIA
Combined Cycle,WNC,MO,p72,eastern,usa,1.011755,EIA
Gas Turbine,WNC,MO,p72,eastern,usa,1.016395,EIA
Combined Cycle,WNC,MO,p73,eastern,usa,1.006116,EIA
Gas Turbine,WNC,MO,p73,eastern,usa,1.01256,EIA
Combined Cycle,ENC,MI,p74,eastern,usa,1.006475,EIA
Gas Turbine,ENC,MI,p74,eastern,usa,1.013705,EIA
Combined Cycle,ENC,WI,p75,eastern,usa,1.00022,EIA
Gas Turbine,ENC,WI,p75,eastern,usa,1.00909,EIA
Combined Cycle,ENC,WI,p76,eastern,usa,1.002315,EIA
Gas Turbine,ENC,WI,p76,eastern,usa,1.010745,EIA
Combined Cycle,ENC,WI,p77,eastern,usa,1.008605,EIA
Gas Turbine,ENC,WI,p77,eastern,usa,1.016275,EIA
Combined Cycle,ENC,WI,p78,eastern,usa,1.02104,EIA
Gas Turbine,ENC,WI,p78,eastern,usa,1.025495,EIA
Combined Cycle,ENC,WI,p79,eastern,usa,1.029335,EIA
Gas Turbine,ENC,WI,p79,eastern,usa,1.03118,EIA
Combined Cycle,ENC,IL,p80,eastern,usa,1.04843,EIA
Gas Turbine,ENC,IL,p80,eastern,usa,1.046025,EIA
Combined Cycle,ENC,IL,p81,eastern,usa,1.01217,EIA
Gas Turbine,ENC,IL,p81,eastern,usa,1.01688,EIA
Combined Cycle,ENC,IL,p82,eastern,usa,1.01812,EIA
Gas Turbine,ENC,IL,p82,eastern,usa,1.02214,EIA
Combined Cycle,ENC,IL,p83,eastern,usa,1.01309,EIA
Gas Turbine,ENC,IL,p83,eastern,usa,1.015755,EIA
Combined Cycle,WNC,MO,p84,eastern,usa,0.985206,EIA
Gas Turbine,WNC,MO,p84,eastern,usa,0.997773,EIA
Combined Cycle,WSC,AR,p85,eastern,usa,0.93772,EIA
Gas Turbine,WSC,AR,p85,eastern,usa,0.9682095,EIA
Combined Cycle,WSC,LA,p86,eastern,usa,0.923724,EIA
Gas Turbine,WSC,LA,p86,eastern,usa,0.957636,EIA
Combined Cycle,ESC,MS,p87,eastern,usa,0.917771,EIA
Gas Turbine,ESC,MS,p87,eastern,usa,0.9538185,EIA
Combined Cycle,ESC,MS,p88,eastern,usa,0.923545,EIA
Gas Turbine,ESC,MS,p88,eastern,usa,0.9567135,EIA
Combined Cycle,ESC,AL,p89,eastern,usa,0.9126925,EIA
Gas Turbine,ESC,AL,p89,eastern,usa,0.948879,EIA
Combined Cycle,ESC,AL,p90,eastern,usa,0.9130085,EIA
Gas Turbine,ESC,AL,p90,eastern,usa,0.95023,EIA
Combined Cycle,SA,FL,p91,eastern,usa,0.910723,EIA
Gas Turbine,SA,FL,p91,eastern,usa,0.948071,EIA
Combined Cycle,ESC,TN,p92,eastern,usa,0.931073,EIA
Gas Turbine,ESC,TN,p92,eastern,usa,0.956172,EIA
Combined Cycle,ESC,KY,p93,eastern,usa,0.9601415,EIA
Gas Turbine,ESC,KY,p93,eastern,usa,0.9727525,EIA
Combined Cycle,SA,GA,p94,eastern,usa,0.916843,EIA
Gas Turbine,SA,GA,p94,eastern,usa,0.954001,EIA
Combined Cycle,SA,SC,p95,eastern,usa,0.8958,EIA
Gas Turbine,SA,SC,p95,eastern,usa,0.9337585,EIA
Combined Cycle,SA,SC,p96,eastern,usa,0.9292845,EIA
Gas Turbine,SA,SC,p96,eastern,usa,0.956384,EIA
Combined Cycle,SA,NC,p97,eastern,usa,0.92561,EIA
Gas Turbine,SA,NC,p97,eastern,usa,0.950925,EIA
Combined Cycle,SA,NC,p98,eastern,usa,1.03589,EIA
Gas Turbine,SA,NC,p98,eastern,usa,1.03169,EIA
Combined Cycle,SA,VA,p99,eastern,usa,1.102125,EIA
Gas Turbine,SA,VA,p99,eastern,usa,1.080405,EIA
Combined Cycle,SA,VA,p100,eastern,usa,1.1815,EIA
Gas Turbine,SA,VA,p100,eastern,usa,1.14082,EIA
Combined Cycle,SA,FL,p101,eastern,usa,0.9268915,EIA
Gas Turbine,SA,FL,p101,eastern,usa,0.9552505,EIA
Combined Cycle,SA,FL,p102,eastern,usa,0.9303945,EIA
Gas Turbine,SA,FL,p102,eastern,usa,0.956348,EIA
Combined Cycle,ENC,MI,p103,eastern,usa,1.014145,EIA
Gas Turbine,ENC,MI,p103,eastern,usa,1.01887,EIA
Combined Cycle,ENC,MI,p104,eastern,usa,1.022075,EIA
Gas Turbine,ENC,MI,p104,eastern,usa,1.02559,EIA
Combined Cycle,ENC,IN,p105,eastern,usa,1.01541,EIA
Gas Turbine,ENC,IN,p105,eastern,usa,1.01951,EIA
Combined Cycle,ENC,IN,p106,eastern,usa,0.992193,EIA
Gas Turbine,ENC,IN,p106,eastern,usa,1.0038055,EIA
Combined Cycle,ENC,IN,p107,eastern,usa,0.983931,EIA
Gas Turbine,ENC,IN,p107,eastern,usa,0.986065,EIA
Combined Cycle,ESC,KY,p108,eastern,usa,0.9745305,EIA
Gas Turbine,ESC,KY,p108,eastern,usa,0.9780695,EIA
Combined Cycle,ESC,KY,p109,eastern,usa,0.96429,EIA
Gas Turbine,ESC,KY,p109,eastern,usa,0.9709555,EIA
Combined Cycle,ESC,KY,p110,eastern,usa,0.9708055,EIA
Gas Turbine,ESC,KY,p110,eastern,usa,0.9854625,EIA
Combined Cycle,ENC,OH,p111,eastern,usa,1.051195,EIA
Gas Turbine,ENC,OH,p111,eastern,usa,1.044515,EIA
Combined Cycle,ENC,OH,p112,eastern,usa,1.0158,EIA
Gas Turbine,ENC,OH,p112,eastern,usa,1.01955,EIA
Combined Cycle,ENC,OH,p113,eastern,usa,0.9809545,EIA
Gas Turbine,ENC,OH,p113,eastern,usa,0.9929595,EIA
Combined Cycle,ENC,OH,p114,eastern,usa,0.966841,EIA
Gas Turbine,ENC,OH,p114,eastern,usa,0.9834795,EIA
Combined Cycle,MA,PA,p115,eastern,usa,1.121195,EIA
Gas Turbine,MA,PA,p115,eastern,usa,1.094165,EIA
Combined Cycle,SA,WV,p116,eastern,usa,1.06647,EIA
Gas Turbine,SA,WV,p116,eastern,usa,1.057455,EIA
Combined Cycle,SA,WV,p117,eastern,usa,1.0037745,EIA
Gas Turbine,SA,WV,p117,eastern,usa,1.01575,EIA
Combined Cycle,SA,VA,p118,eastern,usa,0.970001,EIA
Gas Turbine,SA,VA,p118,eastern,usa,0.9835815,EIA
Combined Cycle,MA,PA,p119,eastern,usa,1.168555,EIA
Gas Turbine,MA,PA,p119,eastern,usa,1.129075,EIA
Combined Cycle,MA,PA,p120,eastern,usa,1.204505,EIA
Gas Turbine,MA,PA,p120,eastern,usa,1.156705,EIA
Combined Cycle,SA,MD,p121,eastern,usa,1.19409,EIA
Gas Turbine,SA,MD,p121,eastern,usa,1.150455,EIA
Combined Cycle,MA,PA,p122,eastern,usa,1.15518,EIA
Gas Turbine,MA,PA,p122,eastern,usa,1.11888,EIA
Combined Cycle,SA,MD,p123,eastern,usa,1.227995,EIA
Gas Turbine,SA,MD,p123,eastern,usa,1.171655,EIA
Combined Cycle,SA,VA,p124,eastern,usa,1.21153,EIA
Gas Turbine,SA,VA,p124,eastern,usa,1.160735,EIA
Combined Cycle,SA,DE,p125,eastern,usa,1.245525,EIA
Gas Turbine,SA,DE,p125,eastern,usa,1.17879,EIA
Combined Cycle,MA,NJ,p126,eastern,usa,1.271045,EIA
Gas Turbine,MA,NJ,p126,eastern,usa,1.212275,EIA
Combined Cycle,MA,NY,p127,eastern,usa,1.16688,EIA
Gas Turbine,MA,NY,p127,eastern,usa,1.12454,EIA
Combined Cycle,MA,NY,p128,eastern,usa,1.33852,EIA
Gas Turbine,MA,NY,p128,eastern,usa,1.27822,EIA
Combined Cycle,NE,VT,p129,eastern,usa,1.0892,EIA
Gas Turbine,NE,VT,p129,eastern,usa,1.0778,EIA
Combined Cycle,NE,NH,p130,eastern,usa,1.110725,EIA
Gas Turbine,NE,NH,p130,eastern,usa,1.06007,EIA
Combined Cycle,NE,MA,p131,eastern,usa,1.24988,EIA
Gas Turbine,NE,MA,p131,eastern,usa,1.17914,EIA
Combined Cycle,NE,CT,p132,eastern,usa,1.270575,EIA
Gas Turbine,NE,CT,p132,eastern,usa,1.201025,EIA
Combined Cycle,NE,RI,p133,eastern,usa,1.234935,EIA
Gas Turbine,NE,RI,p133,eastern,usa,1.158405,EIA
Combined Cycle,NE,ME,p134,eastern,usa,1.101205,EIA
Gas Turbine,NE,ME,p134,eastern,usa,1.07606,EIA
Combined Cycle,PA,mex,p135,wscc,mex,1,EIA
Gas Turbine,PA,mex,p135,wscc,mex,1,EIA
Combined Cycle,PA,mex,p136,wscc,mex,1,EIA
Gas Turbine,PA,mex,p136,wscc,mex,1,EIA
Combined Cycle,PA,BC,p137,WSCC,can,1.0222,EIA
Gas Turbine,PA,BC,p137,WSCC,can,1.0296,EIA
Combined Cycle,PA,BC,p138,WSCC,can,0.9855,EIA
Gas Turbine,PA,BC,p138,WSCC,can,1.0296,EIA
Combined Cycle,PA,BC,p139,WSCC,can,0.9855,EIA
Gas Turbine,PA,BC,p139,WSCC,can,1.0296,EIA
Combined Cycle,MTN,AB,p140,WSCC,can,1.0074,EIA
Gas Turbine,MTN,AB,p140,WSCC,can,1.202,EIA
Combined Cycle,MTN,AB,p141,WSCC,can,0.9421,EIA
Gas Turbine,MTN,AB,p141,WSCC,can,1.1034,EIA
Combined Cycle,WNC,SK,p142,eastern,can,0.9352,EIA
Gas Turbine,WNC,SK,p142,eastern,can,1.1165,EIA
Combined Cycle,WNC,MB,p143,eastern,can,0.9855,EIA
Gas Turbine,WNC,MB,p143,eastern,can,1.0927,EIA
Combined Cycle,MA,ON,p144,eastern,can,0.9855,EIA
Gas Turbine,MA,ON,p144,eastern,can,0.9465,EIA
Combined Cycle,MA,ON,p145,eastern,can,0.9898,EIA
Gas Turbine,MA,ON,p145,eastern,can,1.0296,EIA
Combined Cycle,MA,ON,p146,eastern,can,1.0296,EIA
Gas Turbine,MA,ON,p146,eastern,can,0.9742,EIA
Combined Cycle,MA,ON,p147,eastern,can,0.9855,EIA
Gas Turbine,MA,ON,p147,eastern,can,1.0296,EIA
Combined Cycle,NE,QC,p148,quebec,can,0.9855,EIA
Gas Turbine,NE,QC,p148,quebec,can,0.9193,EIA
Combined Cycle,NE,QC,p149,quebec,can,0.9855,EIA
Gas Turbine,NE,QC,p149,quebec,can,1.0296,EIA
Combined Cycle,NE,QC,p150,quebec,can,1.051,EIA
Gas Turbine,NE,QC,p150,quebec,can,1.0296,EIA
Combined Cycle,NE,QC,p151,quebec,can,0.9855,EIA
Gas Turbine,NE,QC,p151,quebec,can,1.0296,EIA
Combined Cycle,NE,NB,p152,eastern,can,1.0222,EIA
Gas Turbine,NE,NB,p152,eastern,can,0.9524,EIA
Combined Cycle,NE,NS,p153,eastern,can,0.9855,EIA
Gas Turbine,NE,NS,p153,eastern,can,1.0296,EIA
Combined Cycle,NE,NL,p154,quebec,can,0.9855,EIA
Gas Turbine,NE,NL,p154,quebec,can,1.0296,EIA
Combined Cycle,NE,NFI,p155,quebec,can,1,EIA
Gas Turbine,NE,NFI,p155,quebec,can,1,EIA
Combined Cycle,NE,PEI,p156,eastern,can,1,EIA
Gas Turbine,NE,PEI,p156,eastern,can,1,EIA
Combined Cycle,mex,SIN_SON,p157,mexico,mex,1,EIA
Gas Turbine,mex,SIN_SON,p157,mexico,mex,1,EIA
Combined Cycle,mex,SIN_SON,p158,mexico,mex,1,EIA
Gas Turbine,mex,SIN_SON,p158,mexico,mex,1,EIA
Combined Cycle,mex,SIN_SON,p159,mexico,mex,1,EIA
Gas Turbine,mex,SIN_SON,p159,mexico,mex,1,EIA
Combined Cycle,mex,SIN_SON,p160,mexico,mex,1,EIA
Gas Turbine,mex,SIN_SON,p160,mexico,mex,1,EIA
Combined Cycle,mex,SIN_SON,p161,mexico,mex,1,EIA
Gas Turbine,mex,SIN_SON,p161,mexico,mex,1,EIA
Combined Cycle,mex,SIN_SON,p162,mexico,mex,1,EIA
Gas Turbine,mex,SIN_SON,p162,mexico,mex,1,EIA
Combined Cycle,mex,CHH,p163,mexico,mex,1,EIA
Gas Turbine,mex,CHH,p163,mexico,mex,1,EIA
Combined Cycle,mex,CHH,p164,mexico,mex,1,EIA
Gas Turbine,mex,CHH,p164,mexico,mex,1,EIA
Combined Cycle,mex,CHH,p165,mexico,mex,1,EIA
Gas Turbine,mex,CHH,p165,mexico,mex,1,EIA
Combined Cycle,mex,COA_DGO_NLE,p166,mexico,mex,1,EIA
Gas Turbine,mex,COA_DGO_NLE,p166,mexico,mex,1,EIA
Combined Cycle,mex,COA_DGO_NLE,p167,mexico,mex,1,EIA
Gas Turbine,mex,COA_DGO_NLE,p167,mexico,mex,1,EIA
Combined Cycle,mex,COA_DGO_NLE,p168,mexico,mex,1,EIA
Gas Turbine,mex,COA_DGO_NLE,p168,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p169,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p169,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p170,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p170,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p171,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p171,mexico,mex,1,EIA
Combined Cycle,mex,COA_DGO_NLE,p172,mexico,mex,1,EIA
Gas Turbine,mex,COA_DGO_NLE,p172,mexico,mex,1,EIA
Combined Cycle,mex,COA_DGO_NLE,p173,mexico,mex,1,EIA
Gas Turbine,mex,COA_DGO_NLE,p173,mexico,mex,1,EIA
Combined Cycle,mex,SLP,p174,mexico,mex,1,EIA
Gas Turbine,mex,SLP,p174,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p175,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p175,mexico,mex,1,EIA
Combined Cycle,mex,SLP,p176,mexico,mex,1,EIA
Gas Turbine,mex,SLP,p176,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p177,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p177,mexico,mex,1,EIA
Combined Cycle,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p178,mexico,mex,1,EIA
Gas Turbine,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p178,mexico,mex,1,EIA
Combined Cycle,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p179,mexico,mex,1,EIA
Gas Turbine,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p179,mexico,mex,1,EIA
Combined Cycle,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p180,mexico,mex,1,EIA
Gas Turbine,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p180,mexico,mex,1,EIA
Combined Cycle,mex,SLP,p181,mexico,mex,1,EIA
Gas Turbine,mex,SLP,p181,mexico,mex,1,EIA
Combined Cycle,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p182,mexico,mex,1,EIA
Gas Turbine,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p182,mexico,mex,1,EIA
Combined Cycle,mex,COL,p183,mexico,mex,1,EIA
Gas Turbine,mex,COL,p183,mexico,mex,1,EIA
Combined Cycle,mex,GRO_MIC,p184,mexico,mex,1,EIA
Gas Turbine,mex,GRO_MIC,p184,mexico,mex,1,EIA
Combined Cycle,mex,GRO_MIC,p185,mexico,mex,1,EIA
Gas Turbine,mex,GRO_MIC,p185,mexico,mex,1,EIA
Combined Cycle,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p186,mexico,mex,1,EIA
Gas Turbine,mex,AGU_GUA_JAL_NAY_QUE_ZAC,p186,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p187,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p187,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p188,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p188,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p189,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p189,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p190,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p190,mexico,mex,1,EIA
Combined Cycle,mex,GRO_MIC,p191,mexico,mex,1,EIA
Gas Turbine,mex,GRO_MIC,p191,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p192,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p192,mexico,mex,1,EIA
Combined Cycle,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p193,mexico,mex,1,EIA
Gas Turbine,mex,DIF_HID_mex_MOR_OAX_PUE_TAM_TLA_VER,p193,mexico,mex,1,EIA
Combined Cycle,mex,CAM_CHP_TAB,p194,mexico,mex,1,EIA
