JetFuel,Item Type,value,unit,source
Conventional,O&M,2.90E-07,$/BTU,Prelim and GREET
Conventional,Capital,1.59E-07,$/BTU,"Petroleum Refining - Technology and Economics 5th Edition; Gary, Handwerk, Kaiser"
