State,Source,Comments,value,unit
RI,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
SC,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
SD,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.21E-05,$/BTU
TN,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.21E-05,$/BTU
TX,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.23E-05,$/BTU
UT,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.15E-05,$/BTU
VT,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
VA,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
WA,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.30E-05,$/BTU
WV,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
WI,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.21E-05,$/BTU
WY,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.15E-05,$/BTU
