State,Source,Comments,value,unit
LA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.10E-06,$/BTU
ME,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.90E-06,$/BTU
MD,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.44E-06,$/BTU
MA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.62E-06,$/BTU
MI,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.57E-06,$/BTU
MN,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.79E-06,$/BTU
MS,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.00E-06,$/BTU
MO,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,2.89E-06,$/BTU
MT,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.13E-06,$/BTU
NE,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.95E-06,$/BTU
NV,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.21E-06,$/BTU
NH,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.41E-06,$/BTU
NJ,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,5.57E-06,$/BTU
NM,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.01E-06,$/BTU
NY,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,5.19E-06,$/BTU
NC,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.42E-06,$/BTU
ND,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.34E-06,$/BTU
OH,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.59E-06,$/BTU
OK,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.10E-06,$/BTU
OR,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.45E-06,$/BTU
PA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,6.22E-06,$/BTU
RI,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.31E-06,$/BTU
SC,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.32E-06,$/BTU
SD,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.90E-06,$/BTU
TN,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.69E-06,$/BTU
TX,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.10E-06,$/BTU
UT,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.90E-06,$/BTU
VT,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.98E-06,$/BTU
VA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.25E-06,$/BTU
WA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,5.47E-06,$/BTU
WV,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.36E-06,$/BTU
WI,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,4.14E-06,$/BTU
WY,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on gasoline for transportation by US state as of October 2020,3.42E-06,$/BTU
