Process Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
wet process,Avoided landfill gas emissions,total,oc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Avoided landfill gas emissions,total,ch4,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Avoided landfill gas emissions,total,n2o,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,Avoided landfill gas emissions,total,co2,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,voc,2.41881E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,co,9.00459E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,nox,2.50456E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,pm10,9.9739E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,pm2.5,9.55348E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,sox,5.34783E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,bc,6.90707E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,oc,2.07946E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,ch4,5.88732E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,n2o,1.15576E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
wet process,On-site Mobile Fuel Use,total,co2,4.69227E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,total,resid oil,resid oil,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,diesel,diesel,0.108,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,gasoline,gasoline,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,lpg,lpg,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,pet coke,pet coke,3.453,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,natural gas,natural gas,0.333,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,coal,coal,1.072,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,waste,waste,0.039,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,tire derived fuel,tire derived fuel,0.090,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,solvents,solvents,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,waste oil,waste oil,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,renewables,renewables,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,electricity,electricity,0.550,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry process,total,electricity,voc,7.84871E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,co,2.487E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,nox,4.87169E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,pm10,8.75037E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,pm2.5,3.79137E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,sox,0.000119816,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,bc,3.11378E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,oc,7.35013E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,ch4,0.000137709,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,n2o,1.08801E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,total,electricity,co2,0.069429534,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry process,Energy Use,total,voc,4.09724E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,co,7.82773E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,nox,0.000157199,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,pm10,2.39213E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,pm2.5,1.03529E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,sox,0.000162174,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,bc,1.28802E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,oc,2.45292E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,ch4,0.000714638,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,n2o,2.22037E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Energy Use,total,co2,0.110333245,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,voc,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,co,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,nox,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,pm10,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,pm2.5,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,sox,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,bc,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,oc,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,ch4,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,n2o,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Facility Emissions based on Federal Datasets,total,co2,9.00457E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,voc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,co,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,nox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,pm10,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,pm2.5,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,sox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,bc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,oc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,ch4,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,n2o,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,Avoided landfill gas emissions,total,co2,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,voc,2.41881E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,co,9.00459E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,nox,2.50456E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,pm10,9.9739E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,pm2.5,9.55348E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,sox,5.34783E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,bc,6.90707E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,oc,2.07946E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,ch4,5.88732E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,n2o,1.15576E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry process,On-site Mobile Fuel Use,total,co2,4.69227E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with preheater,total,resid oil,resid oil,0.018,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,diesel,diesel,0.028,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,gasoline,gasoline,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,lpg,lpg,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,pet coke,pet coke,0.344,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,natural gas,natural gas,1.004,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,coal,coal,2.057,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,waste,waste,0.312,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,tire derived fuel,tire derived fuel,0.253,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,solvents,solvents,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,waste oil,waste oil,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,renewables,renewables,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,electricity,electricity,0.515,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
dry with preheater,total,electricity,voc,7.34622E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,co,2.32778E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,nox,4.5598E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,pm10,8.19016E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,pm2.5,3.54864E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,sox,0.000112145,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,bc,2.91443E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,oc,6.87957E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,ch4,0.000128892,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
dry with preheater,total,electricity,n2o,1.01836E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
