Process Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
dry with precalciner,Energy Use,total,voc,2.86739E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,co,5.23859E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,nox,0.000102058,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,pm10,2.27163E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,pm2.5,6.79692E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,sox,0.000125077,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,bc,6.50457E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,oc,1.40834E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,ch4,0.00054374,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,n2o,1.92836E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Energy Use,total,co2,0.072104375,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,voc,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,co,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,nox,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,pm10,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,pm2.5,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,sox,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,bc,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,oc,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,ch4,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,n2o,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Facility Emissions based on Federal Datasets,total,co2,6.57776E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,voc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,co,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,nox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,pm10,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,pm2.5,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,sox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,bc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,oc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,ch4,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,n2o,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,Avoided landfill gas emissions,total,co2,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,voc,2.41881E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,co,9.00459E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,nox,2.50456E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,pm10,9.9739E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,pm2.5,9.55348E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,sox,5.34783E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,bc,6.90707E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,oc,2.07946E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,ch4,5.88732E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,n2o,1.15576E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
dry with precalciner,On-site Mobile Fuel Use,total,co2,4.69227E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,resid oil,resid oil,0.016,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,diesel,diesel,0.036,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,gasoline,gasoline,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,lpg,lpg,0.000,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,pet coke,pet coke,0.741,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,natural gas,natural gas,0.665,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,coal,coal,1.684,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,waste,waste,0.191,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,tire derived fuel,tire derived fuel,0.170,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,solvents,solvents,0.215,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,waste oil,waste oil,0.031,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,renewables,renewables,0.031,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,electricity,0.481,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,voc,6.86115E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,co,2.17408E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,nox,4.25872E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,pm10,7.64937E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,pm2.5,3.31433E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,sox,0.00010474,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,bc,2.72199E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,oc,6.42531E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,ch4,0.000120382,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,n2o,9.51117E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),total,electricity,co2,0.060693635,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,voc,3.0321E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,co,5.57625E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,nox,0.000108147,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,pm10,2.35688E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,pm2.5,7.13014E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,sox,0.000130372,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,bc,6.92936E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,oc,1.48819E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,ch4,0.00057414,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,n2o,2.04166E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Energy Use,total,co2,0.075569331,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,voc,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,co,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,nox,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,pm10,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,pm2.5,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,sox,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,bc,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,oc,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,ch4,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,n2o,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Facility Emissions based on Federal Datasets,total,co2,7.83542E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,voc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,co,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,nox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,pm10,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,pm2.5,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,sox,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,bc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,oc,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,ch4,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,n2o,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),Avoided landfill gas emissions,total,co2,0,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,voc,2.41881E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,co,9.00459E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,nox,2.50456E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,pm10,9.9739E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,pm2.5,9.55348E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,sox,5.34783E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,bc,6.90707E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,oc,2.07946E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,ch4,5.88732E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,n2o,1.15576E-09,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
US average (80%precalciner/12% preheater/5% dry/3% wet),On-site Mobile Fuel Use,total,co2,4.69227E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
