Coal Type,Region,Generator Type,Count Emissions from Building Powerplant,mix,efficiency,flows,value,unit,direction,type,source,data location
Bituminous,ASCC,Boiler (~99% of US coal turbines),No,,26.00%,pm2.5,3.50E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),No,,26.00%,sox,4.27E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),No,,26.00%,bc,1.51E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),No,,26.00%,oc,0.000283824,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),No,,26.00%,ch4,1.40E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),No,,26.00%,n2o,2.10E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),No,,26.00%,co2,1.08E+00,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,voc,3.28E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,co,1.18E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,nox,1.34E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,pm10,1.19E-02,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,pm2.5,3.50E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,sox,4.27E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,bc,1.51E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,oc,2.84E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,ch4,1.53E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,n2o,2.10E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,ASCC,Boiler (~99% of US coal turbines),Yes,,26.00%,co2,1.08E+00,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Coal Boiler when Inputs tab E710 = ASCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,voc,1.20E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,co,9.90E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,nox,6.43E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,pm10,1.87E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,pm2.5,1.31E-04,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
Bituminous,FRCC,Boiler (~99% of US coal turbines),No,,34.80%,sox,1.67E-03,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Coal Boiler when Inputs tab E710 = FRCC
