feed,Generation Region,Generator Type,LWR Sub-Type,Include Infrastructure Emissions?,flows,value,unit,direction,type,source,data location,comment
Nuclear,ASCC,HTGR,,yes,nox,0.144690531,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,pm10,0.085326825,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,pm2.5,0.038727226,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,sox,0.542466525,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,bc,0.000811148,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,oc,0.001693534,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,ch4,0.20852766,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,n2o,0.001278426,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,ASCC,HTGR,,yes,co2,129.4375541,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,FRCC,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,uranium,1.44E-07,kg/kWh,input,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,FRCC,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,voc,0.133929119,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,FRCC,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,co,0.846141246,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
