feed,Generation Region,Generator Type,LWR Sub-Type,Count Emissions from Building Plant Infrastructure,flows,value,unit,direction,type,source,data location,comment
Nuclear,US,HTGR,,yes,n2o,4.36E-09,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,yes,co2,0.000441659,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,voc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,co,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,nox,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,pm10,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,pm2.5,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,sox,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,bc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,oc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,ch4,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,n2o,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,co2,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,voc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,co,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,nox,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,pm10,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,pm2.5,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,sox,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,bc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,oc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,ch4,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,n2o,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,co2,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US BRW when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,voc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,co,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,nox,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,pm10,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,pm2.5,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,sox,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,bc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,oc,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,ch4,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,n2o,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,HTGR,,no,co2,0,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US HTGR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,uranium,1.44E-07,kg/kWh,input,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),yes,uranium,1.44E-07,kg/kWh,input,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,US,HTGR,,yes,uranium,1.15E-07,kg/kWh,input,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),no,uranium,1.44E-07,kg/kWh,input,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),BRW (Boiling Water Reactor),no,uranium,1.44E-07,kg/kWh,input,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
Nuclear,US,HTGR,,no,uranium,1.15E-07,kg/kWh,input,mass,GREET,Electric tab Row 188-198 for ASCC PWR when Inputs tab E710 = ASCC,infrastructure emissions
