Term,Abbr,Source,value,year
Inflation Rate,ir,ATB,0.025,2020
Interest Rate,i,ATB,0.04,2020
Interest During Construction,ic,ATB,0.04,2020
Rate of Return on Equity,rre,ATB,0.073,2020
Debt Fraction,df,ATB,0.719,2020
Tax Rate (Federal and State),tr,ATB,0.257,2020
