Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location,,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,ch4,combustion,2.11712E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,ch4,combustion,-5.57753E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,ch4,combustion,2.06863E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,co,,1.7848E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,co,,-4.82382E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,co,,2.24295E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,co,,1.12512E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,co,,-4.82382E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,co,,1.7848E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,co,,-4.82382E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,co,,2.02159E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,co,,9.13995E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,co,,1.5207E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,co,,1.95739E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,co,,1.12512E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,co,,4.70518E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,co,,1.12512E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,co,,-1.0073E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,co,,4.59741E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,co,,1.07417E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,co2,,0.004982623,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Methanol and Electric tab B220 and C220,,
Steam co-production,Displacement method,MeOH Production,steam,co2,,-0.008293353,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 95 for Natural Gas to Methanol and MeOH_FTD!D135,,
Steam co-production,Displacement method,MeOH Production,total,co2,,0.005770302,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,co2,,0.013248967,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Steam co-production,Displacement method,Production of Displaced Steam,total,co2,,-0.008293353,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,co2,,0.004982623,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Methanol and Electric tab B220 and C220,,
Steam co-production,Btu-based Allocation,MeOH Production,steam,co2,,-0.008293353,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 95 for Natural Gas to Methanol and MeOH_FTD!D135,,
Steam co-production,Btu-based Allocation,MeOH Production,total,co2,,0.005200813,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,co2,,0.011941717,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
No co-products,Displacement method,MeOH Production,electricity,co2,,0.004245347,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Methanol and Electric tab B220 and C220,,
No co-products,Displacement method,MeOH Production,total,co2,,0.004996114,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,co2,,0.009420957,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Electricity co-production,Displacement method,MeOH Production,total,co2,,0.000808939,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,co2,,0.015453664,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,co2,,-0.002812064,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Electricity co-production,Btu-based Allocation,MeOH Production,total,co2,,0.00079041,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,co2,,0.015099789,kg/MJ,output,mass,GREET,,MeOH_FTD tab Row 135 for Natural Gas to Methanol,,
Steam co-production,Displacement method,MeOH Production,electricity,n2o,,7.80816E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,n2o,,-1.27447E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,n2o,,9.01861E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,n2o,,-1.27447E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,n2o,,7.80816E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,n2o,,-1.27447E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,n2o,,8.12854E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,n2o,,6.65279E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,n2o,,7.80652E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,n2o,,1.24312E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,n2o,,-4.40672E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,n2o,,1.21465E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,nox,,3.49618E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,nox,,-7.29718E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,nox,,4.18924E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,nox,,7.39336E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,nox,,-7.29718E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,nox,,3.49618E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,nox,,-7.29718E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,nox,,3.77579E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,nox,,6.00603E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,nox,,2.97885E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,nox,,3.63944E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,nox,,7.39336E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,nox,,7.11771E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,nox,,7.39336E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,nox,,-1.97315E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,nox,,6.95468E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,nox,,7.05856E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,oc,,5.27484E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,oc,,-2.12254E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,oc,,7.29076E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,oc,,-2.12254E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,oc,,5.27484E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,oc,,-2.12254E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,oc,,6.57121E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,oc,,4.49432E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,oc,,6.41578E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,oc,,2.07034E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,oc,,-2.97698E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,oc,,2.02292E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,oc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,pm10,,6.27972E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,pm10,,-5.10193E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,pm10,,6.76429E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,pm10,,1.23615E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,pm10,,-5.10193E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,pm10,,6.27972E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,pm10,,-5.10193E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,pm10,,6.0967E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,pm10,,1.00419E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,pm10,,5.35051E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,pm10,,5.81237E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,pm10,,1.17494E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,pm10,,4.97645E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,pm10,,1.23615E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,pm10,,-3.54411E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,pm10,,4.86247E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,pm10,,1.18017E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,pm2.5,,2.72089E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,pm2.5,,-5.04269E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,pm2.5,,3.19983E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,pm2.5,,1.19119E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,pm2.5,,-5.04269E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,pm2.5,,2.72089E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,pm2.5,,-5.04269E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,pm2.5,,2.88402E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,pm2.5,,9.6767E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,pm2.5,,2.31828E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,pm2.5,,2.77477E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,pm2.5,,1.1322E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,pm2.5,,4.91867E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,pm2.5,,1.19119E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,pm2.5,,-1.5356E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production,total,pm2.5,,4.80601E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,pm2.5,,1.13725E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production,electricity,sox,,8.5986E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,sox,,-1.48173E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,sox,,8.73934E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,sox,,1.03318E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,sox,,-1.48173E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,sox,,8.5986E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,sox,,-1.48173E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,sox,,7.87682E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,sox,,8.39304E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,sox,,7.32627E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,sox,,7.46041E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production: Non-Combustion Emissions,total,sox,,1.03318E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production,total,sox,,1.44529E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Electricity co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,sox,,1.03318E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
