Year,Reference,Resource Efficiency,NG Support,LCP,HCP,LCP w/ CCS,HCP w/ CCS,Electrification,,Source
2020,100.9814786,100.9814786,100.9814786,100.9814786,100.9814786,100.9814786,100.9814786,101,,MITJPSPGC_Rpt355.pdf
2025,121.8859289,133.798384,121.7325036,120.9561975,115.049565,120.9500276,115.0378062,122.3,,MITJPSPGC_Rpt355.pdf
2030,161.4862037,182.4414967,161.2116032,158.1132127,146.5546786,158.1054677,146.4503282,162.4,,MITJPSPGC_Rpt355.pdf
2035,209.7039857,244.0361177,209.2797974,199.3445341,190.8176293,199.3362096,188.5420114,211.3,,MITJPSPGC_Rpt355.pdf
2040,264.8853547,318.9657722,264.2804797,247.5492182,235.5414828,247.5444102,230.1144971,267.5,,MITJPSPGC_Rpt355.pdf
2045,322.8172249,405.1835488,322.0009742,302.5472286,287.5426572,302.3144775,284.3412648,327,,MITJPSPGC_Rpt355.pdf
2050,387.5425855,507.165517,386.5140571,362.3900579,342.5880152,365.0301045,365.3807986,393.6,,MITJPSPGC_Rpt355.pdf
