census_region,year,value,units
WNC,2029,4.381708,$/MMBtu
WNC,2030,4.442829,$/MMBtu
WNC,2031,4.415359,$/MMBtu
WNC,2032,4.560022,$/MMBtu
WNC,2033,4.595975,$/MMBtu
WNC,2034,4.672707,$/MMBtu
WNC,2035,4.715259,$/MMBtu
WNC,2036,4.823172,$/MMBtu
WNC,2037,4.871255,$/MMBtu
WNC,2038,4.879325,$/MMBtu
WNC,2039,4.880004,$/MMBtu
WNC,2040,4.966247,$/MMBtu
WNC,2041,4.919987,$/MMBtu
WNC,2042,4.97062,$/MMBtu
WNC,2043,5.061516,$/MMBtu
WNC,2044,5.182206,$/MMBtu
WNC,2045,5.208657,$/MMBtu
WNC,2046,5.273713,$/MMBtu
WNC,2047,5.284143,$/MMBtu
WNC,2048,5.436008,$/MMBtu
WNC,2049,5.520126,$/MMBtu
WNC,2050,5.622054,$/MMBtu
SA,2010,6.928347745,$/MMBtu
SA,2011,6.100605176,$/MMBtu
SA,2012,4.603205347,$/MMBtu
SA,2013,5.199363461,$/MMBtu
SA,2014,5.784059645,$/MMBtu
SA,2015,4.174867889,$/MMBtu
SA,2016,3.617626112,$/MMBtu
SA,2017,3.904751,$/MMBtu
SA,2018,3.760998,$/MMBtu
SA,2019,3.605363,$/MMBtu
SA,2020,3.739053,$/MMBtu
SA,2021,3.667823,$/MMBtu
SA,2022,3.705243,$/MMBtu
SA,2023,3.865782,$/MMBtu
SA,2024,4.098614,$/MMBtu
SA,2025,4.337469,$/MMBtu
SA,2026,4.396647,$/MMBtu
SA,2027,4.401963,$/MMBtu
SA,2028,4.480762,$/MMBtu
SA,2029,4.467915,$/MMBtu
SA,2030,4.508206,$/MMBtu
SA,2031,4.49857,$/MMBtu
SA,2032,4.654084,$/MMBtu
SA,2033,4.703539,$/MMBtu
SA,2034,4.734868,$/MMBtu
SA,2035,4.766467,$/MMBtu
SA,2036,4.832268,$/MMBtu
SA,2037,4.817033,$/MMBtu
SA,2038,4.798732,$/MMBtu
SA,2039,4.816345,$/MMBtu
SA,2040,4.87817,$/MMBtu
SA,2041,4.844858,$/MMBtu
SA,2042,4.892256,$/MMBtu
SA,2043,4.946806,$/MMBtu
SA,2044,5.024103,$/MMBtu
SA,2045,5.099432,$/MMBtu
SA,2046,5.137379,$/MMBtu
SA,2047,5.208788,$/MMBtu
SA,2048,5.35546,$/MMBtu
SA,2049,5.456409,$/MMBtu
SA,2050,5.548656,$/MMBtu
ESC,2010,5.501132617,$/MMBtu
ESC,2011,4.83693469,$/MMBtu
ESC,2012,3.342800229,$/MMBtu
ESC,2013,4.347983138,$/MMBtu
ESC,2014,4.965419553,$/MMBtu
ESC,2015,3.070750844,$/MMBtu
ESC,2016,2.683754496,$/MMBtu
ESC,2017,3.253771,$/MMBtu
ESC,2018,3.226319,$/MMBtu
ESC,2019,3.088375,$/MMBtu
ESC,2020,3.225267,$/MMBtu
ESC,2021,3.161468,$/MMBtu
ESC,2022,3.207751,$/MMBtu
ESC,2023,3.355079,$/MMBtu
ESC,2024,3.601862,$/MMBtu
ESC,2025,3.824177,$/MMBtu
ESC,2026,3.891814,$/MMBtu
ESC,2027,3.912793,$/MMBtu
ESC,2028,3.997092,$/MMBtu
