Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Steam co-production,Displacement method,DME Production,total,pm10,,6.333E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,Production of Displaced Steam,total,pm10,,-2.05009E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production,electricity,pm10,,6.333E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,steam,pm10,,-2.05009E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,total,pm10,,6.06609E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,pm10,,-1.99646E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production,electricity,pm2.5,,2.71772E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No co-products,Displacement method,DME Production,total,pm2.5,,2.71772E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,electricity,pm2.5,,2.74397E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,steam,pm2.5,,-2.02629E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,total,pm2.5,,2.74397E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,Production of Displaced Steam,total,pm2.5,,-2.02629E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production,electricity,pm2.5,,2.74397E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,steam,pm2.5,,-2.02629E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,total,pm2.5,,2.62833E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,pm2.5,,-8.65031E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production,electricity,sox,,8.58859E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No co-products,Displacement method,DME Production,total,sox,,8.58859E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,sox,,9.00474E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,electricity,sox,,8.67156E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,steam,sox,,-5.954E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,total,sox,,8.67156E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,sox,,9.00474E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,Production of Displaced Steam,total,sox,,-5.954E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production,electricity,sox,,8.67156E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,steam,sox,,-5.954E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,total,sox,,8.30609E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
