Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,co2,,0.015728224,kg/MJ,output,mass,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 135
No co-products,Displacement method,DME Production,,electricity,,0.039454,MJ/MJ,input,energy,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 116
Steam co-production,Displacement method,DME Production,,electricity,,0.039835154,MJ/MJ,input,energy,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 116
Steam co-production,Btu-based Allocation,DME Production,,electricity,,0.039835154,MJ/MJ,input,energy,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 116
Electricity co-production,Displacement method,DME Production,,electricity co-generated,,-0.01320444,MJ/MJ,input,energy,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 95
Electricity co-production,Btu-based Allocation,DME Production,,electricity co-generated,,-0.01320444,MJ/MJ,input,energy,GREET,,MeOH_FTD tab for Natural Gas to Dimethyl Ether Row 95
No co-products,Displacement method,DME Production,electricity,n2o,,7.79906E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
No co-products,Displacement method,DME Production,total,n2o,,7.79906E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
No co-products,Displacement method,DME Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production,electricity,n2o,,7.87441E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,steam,n2o,,-5.12115E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Displacement method,DME Production,total,n2o,,7.87441E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,DME Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Displacement method,Production of Displaced Steam,total,n2o,,-5.12115E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production,electricity,n2o,,7.87441E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,steam,n2o,,-5.12115E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Steam co-production,Btu-based Allocation,DME Production,total,n2o,,7.54254E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Steam co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,DME Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Displacement method,Generation of Displaced Electricity,total,n2o,,-2.48239E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Electricity co-production,Btu-based Allocation,DME Production: Non-Combustion Emissions,total,n2o,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
