Feedstock Source,Production Type,Compute Cost,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,ch4,combustion,-7.87E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,ch4,combustion,2.56E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,co,,7.50E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,co,,1.33E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,co,,9.74E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,co,,-1.71E-05,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,co,,1.64E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,co,,3.99E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,co,,4.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,co,,2.13E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
