Feedstock Source,Production Type,Compute Cost,Plant Type,Hydrogen Phase,Co-produce Steam,Basis of H2 Production Assumptions,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,pm10,,-1.81E-06,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,pm10,,3.29E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,pm10,,6.62E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,pm10,,4.28E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,pm10,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,pm10,,-1.32E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,pm10,,1.62E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,pm2.5,,1.14E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,pm2.5,,2.02E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,pm2.5,,1.49E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,pm2.5,,-1.79E-06,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,pm2.5,,1.79E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,pm2.5,,3.95E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,pm2.5,,2.32E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,pm2.5,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,pm2.5,,-1.16E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,pm2.5,,7.04E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,sox,,3.61E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,sox,,2.22E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,sox,,6.39E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,sox,,2.22E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,sox,,4.69E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,sox,,2.22E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,sox,,-5.26E-06,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,sox,,3.81E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,sox,,1.55E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,sox,,2.22E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,sox,,6.97E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,sox,,1.55E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,sox,,2.22E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,sox,,4.95E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,sox,,1.55E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,sox,,-6.37E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,sox,,2.22E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,,steam co-generated,,-0.389,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,voc,evaporation,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,electricity,voc,,2.37E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,electricity,voc,,1.46E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,electricity,voc,,4.19E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,electricity,voc,,1.46E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,electricity,voc,,3.08E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,electricity,voc,,1.46E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Production,steam,voc,,-4.40E-06,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification,total,voc,,4.48E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,Biomass Gasification: Non-Combustion Emissions,total,voc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,Industry data,G.H2 Compression and Precooling,total,voc,,1.46E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification,total,voc,,1.05E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,Biomass Gasification: Non-Combustion Emissions,total,voc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,No,H2A Model by NREL,G.H2 Compression and Precooling,total,voc,,1.46E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification,total,voc,,5.82E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Biomass Gasification: Non-Combustion Emissions,total,voc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,Production of Displaced Steam,total,voc,,-1.63E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Gas,Yes,Industry data,G.H2 Compression and Precooling,total,voc,,1.46E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,electricity,bc,,8.54E-09,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,electricity,bc,,2.14E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,electricity,bc,,1.66E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,electricity,bc,,2.14E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,electricity,bc,,1.11E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,electricity,bc,,2.14E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Production,steam,bc,,-3.23E-07,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,total,bc,,2.07E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification: Non-combustion emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,total,bc,,2.14E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,total,bc,,5.15E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification: Non-combustion emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,total,bc,,2.14E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,total,bc,,2.69E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification: Non-combustion emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Production of Displaced Steam,total,bc,,-3.55E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,total,bc,,2.14E-07,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,,biomass,,1.721192982,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,,biomass,,2.088166533,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,,biomass,,1.937069307,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,Hydrogen tab Row 214
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,electricity,ch4,,3.77E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,electricity,ch4,,9.46E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,electricity,ch4,,7.34E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,electricity,ch4,,9.46E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,electricity,ch4,,4.90E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,electricity,ch4,,9.46E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Production,steam,ch4,,-7.71E-05,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,total,ch4,combustion,7.56E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification: Non-combustion emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,total,ch4,combustion,9.46E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,total,ch4,combustion,1.82E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification: Non-combustion emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,total,ch4,combustion,9.46E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,total,ch4,combustion,9.82E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification: Non-combustion emissions,total,ch4,combustion,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Production of Displaced Steam,total,ch4,combustion,-7.87E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,total,ch4,combustion,9.46E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,electricity,co,,6.82E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,electricity,co,,1.71E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,electricity,co,,1.33E-06,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,electricity,co,,1.71E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,electricity,co,,8.86E-07,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,electricity,co,,1.71E-05,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Production,steam,co,,-1.71E-05,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,total,co,,1.61E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification: Non-combustion emissions,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,total,co,,1.71E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,total,co,,3.99E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification: Non-combustion emissions,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,total,co,,1.71E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,total,co,,2.09E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification: Non-combustion emissions,total,co,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Production of Displaced Steam,total,co,,-8.22E-06,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,total,co,,1.71E-05,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,electricity,co2,,0.0019032,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,electricity,co2,,0.047671252,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,electricity,co2,,0.003702056,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,electricity,co2,,0.047671252,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,electricity,co2,,0.00247289,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,electricity,co2,,0.047671252,kg/MJ,output,mass,GREET,,Hydrogen tab Row 218 and Electric tab B220 and C220
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Production,steam,co2,,-0.02946223,kg/MJ,output,mass,GREET,,Hydrogen tab Row 197
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification: Non-combustion emissions,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification: Non-combustion emissions,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification: Non-combustion emissions,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Production of Displaced Steam,total,co2,biogenic,0.048652081,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,total,co2,biogenic,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow"
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,total,co2,non-biogenic,0.003026127,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification: Non-combustion emissions,total,co2,non-biogenic,0,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,total,co2,non-biogenic,0.047671351,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,total,co2,non-biogenic,0.00691362,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification: Non-combustion emissions,total,co2,non-biogenic,0,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,total,co2,non-biogenic,0.047672238,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,total,co2,non-biogenic,0.003931938,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification: Non-combustion emissions,total,co2,non-biogenic,0,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Production of Displaced Steam,total,co2,non-biogenic,-0.050368573,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,total,co2,non-biogenic,0.047671252,kg/MJ,output,mass,GREET,,Hydrogen tab Row 237
Biomass,-,No,Central Plants,Liquid,No,Industry data,Biomass Gasification,,electricity,,0.015087719,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Liquid,No,Industry data,G.H2 Liquefaction,,electricity,,0.377916333,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,Biomass Gasification,,electricity,,0.02934824,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Liquid,No,H2A Model by NREL,G.H2 Liquefaction,,electricity,,0.377916333,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,Biomass Gasification,,electricity,,0.01960396,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
Biomass,-,No,Central Plants,Liquid,Yes,Industry data,G.H2 Liquefaction,,electricity,,0.377916333,MJ/MJ,input,energy,GREET,,Hydrogen tab Row 218
