State,Source,Comments,value,unit
PA,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",2.45E-07,$/BTU
RI,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",8.85E-08,$/BTU
SC,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",5.93E-08,$/BTU
SD,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",4.74E-07,$/BTU
TN,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.11E-07,$/BTU
TX,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",0.00E+00,$/BTU
UT,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",7.51E-07,$/BTU
VT,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.04E-06,$/BTU
VA,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",7.91E-07,$/BTU
WA,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.32E-06,$/BTU
WV,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.20E-06,$/BTU
WI,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",6.32E-07,$/BTU
WY,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",3.95E-07,$/BTU
