State,Source,Comments,value,unit
US average,EIA: https://www.eia.gov/outlooks/steo/data/browser/
AL,EIA: https://www.eia.gov/outlooks/steo/data/browser/
AK,EIA: https://www.eia.gov/outlooks/steo/data/browser/
AZ,EIA: https://www.eia.gov/outlooks/steo/data/browser/
AR,EIA: https://www.eia.gov/outlooks/steo/data/browser/
CA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
CO,EIA: https://www.eia.gov/outlooks/steo/data/browser/
CT,EIA: https://www.eia.gov/outlooks/steo/data/browser/
DE,EIA: https://www.eia.gov/outlooks/steo/data/browser/
FL,EIA: https://www.eia.gov/outlooks/steo/data/browser/
GA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
HI,EIA: https://www.eia.gov/outlooks/steo/data/browser/
ID,EIA: https://www.eia.gov/outlooks/steo/data/browser/
IL,EIA: https://www.eia.gov/outlooks/steo/data/browser/
IN,EIA: https://www.eia.gov/outlooks/steo/data/browser/
IA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
KS,EIA: https://www.eia.gov/outlooks/steo/data/browser/
KY,EIA: https://www.eia.gov/outlooks/steo/data/browser/
LA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
ME,EIA: https://www.eia.gov/outlooks/steo/data/browser/
MD,EIA: https://www.eia.gov/outlooks/steo/data/browser/
MA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
MI,EIA: https://www.eia.gov/outlooks/steo/data/browser/
MN,EIA: https://www.eia.gov/outlooks/steo/data/browser/
MS,EIA: https://www.eia.gov/outlooks/steo/data/browser/
MO,EIA: https://www.eia.gov/outlooks/steo/data/browser/
MT,EIA: https://www.eia.gov/outlooks/steo/data/browser/
NE,EIA: https://www.eia.gov/outlooks/steo/data/browser/
NV,EIA: https://www.eia.gov/outlooks/steo/data/browser/
NH,EIA: https://www.eia.gov/outlooks/steo/data/browser/
NJ,EIA: https://www.eia.gov/outlooks/steo/data/browser/
NM,EIA: https://www.eia.gov/outlooks/steo/data/browser/
NY,EIA: https://www.eia.gov/outlooks/steo/data/browser/
NC,EIA: https://www.eia.gov/outlooks/steo/data/browser/
ND,EIA: https://www.eia.gov/outlooks/steo/data/browser/
OH,EIA: https://www.eia.gov/outlooks/steo/data/browser/
OK,EIA: https://www.eia.gov/outlooks/steo/data/browser/
OR,EIA: https://www.eia.gov/outlooks/steo/data/browser/
PA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
RI,EIA: https://www.eia.gov/outlooks/steo/data/browser/
SC,EIA: https://www.eia.gov/outlooks/steo/data/browser/
SD,EIA: https://www.eia.gov/outlooks/steo/data/browser/
TN,EIA: https://www.eia.gov/outlooks/steo/data/browser/
TX,EIA: https://www.eia.gov/outlooks/steo/data/browser/
UT,EIA: https://www.eia.gov/outlooks/steo/data/browser/
VT,EIA: https://www.eia.gov/outlooks/steo/data/browser/
VA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
WA,EIA: https://www.eia.gov/outlooks/steo/data/browser/
WV,EIA: https://www.eia.gov/outlooks/steo/data/browser/
WI,EIA: https://www.eia.gov/outlooks/steo/data/browser/
WY,EIA: https://www.eia.gov/outlooks/steo/data/browser/
