JetFuel,Item Type,value,unit,source
Conventional,O&M,3.44E-07,$/BTU,Prelim and GREET
Conventional,Capital,3.42E-07,$/BTU,"Petroleum Refining - Technology and Economics 5th Edition; Gary, Handwerk, Kaiser"
