State,Source,Comments,value,unit
IL,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
IN,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
IA,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
KS,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
KY,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
LA,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
ME,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
MD,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
MA,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
MI,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
