data label (bold = stored in excel),year,pop_VIS19,popD_VIS19,d_p_VIS19,S_d_VIS19,S_VIS19,f_ICEG_sedan_VIS19,f_ICED_sedan_VIS19,f_HEV_sedan_VIS19,f_PHEV_sedan_VIS19,f_BEV_sedan_VIS19,f_FCEV_sedan_VIS19,f_ICEG_LT_VIS19,f_ICED_LT_VIS19,f_HEV_LT_VIS19,f_PHEV_LT_VIS19,f_BEV_LT_VIS19,f_FCEV_LT_VIS19,F_sedan_VIS19,F_LT_VIS19,g_p_VIS19,d_TEDB20,d_a_TEDB20,d_Default,d_a_Default
14,1983,233791994,177774200.3,0.760394731,0.068244087,12132038,0.9791,0.0209,0,0,0,0,0.933,0.067,0,0,0,0,0.754039676,0.245960324,26223.73801,6450.25,0.062,16142.4,0.062
15,1984,235824902,179320012.8,0.760394731,0.079113841,14186695,0.9855,0.0145,0,0,0,0,0.952,0.048,0,0,0,0,0.727702611,0.272297389,27866.01391,7588.12,0.062,16142.4,0.062
16,1985,237923795,180916000,0.760394731,0.085327926,15437187,0.9918,0.0082,0,0,0,0,0.962,0.038,0,0,0,0,0.711216817,0.288783183,28762.99111,8306.56,0.058557,16332.02449,0.058557143
17,1986,240132887,183024000,0.762177985,0.08741146,15998395,0.9963,0.0037,0,0,0,0,0.963,0.037,0,0,0,0,0.712836444,0.287163556,29485.75719,8467.52,0.055114,16520.0751,0.055114286
18,1987,242288918,185165000,0.76423223,0.079939022,14801909,0.9984,0.0016,0,0,0,0,0.977,0.023,0,0,0,0,0.688551524,0.311448476,30158.20971,9393.04,0.051671,16706.55184,0.051671429
19,1988,244498982,186982000,0.76475574,0.082077917,15347093,0.9998,0.0002,0,0,0,0,0.977,0.023,0,0,0,0,0.687218615,0.312781385,31114.23998,9732.27,0.048229,16891.45469,0.048228571
20,1989,246819230,188602000,0.764130088,0.076290373,14388517,0.9987,0.0013,0,0,0,0,0.971,0.029,0,0,0,0,0.679605619,0.320394381,31922.95835,10228.26,0.044786,17074.78367,0.044785714
21,1990,249622814,188564000,0.755395699,0.073455792,13851118,0.9992,0.0008,0,0,0,0,0.969,0.031,0,0,0,0,0.671658057,0.328341943,32156.91655,10558.79,0.041343,17256.53878,0.041342857
22,1991,252980941,190478000,0.75293419,0.064637186,12311962,0.999,0.001,0,0,0,0,0.968,0.032,0,0,0,0,0.665160435,0.334839565,31655.74437,10599.93,0.0379,17436.72,0.0379
23,1992,256514224,192376200,0.74996309,0.06675319,12841725,0.9994,0.0006,0,0,0,0,0.967,0.033,0,0,0,0,0.639564622,0.360435378,32278.91175,11634.82,0.03674,17417.232,0.03674
24,1993,259918588,194143800,0.746940807,0.071436641,13868981,0.9997,0.0003,0,0,0,0,0.963,0.037,0,0,0,0,0.614166174,0.385833826,32764.87482,12642.18,0.03558,17397.744,0.03558
25,1994,263125821,195841600,0.744288794,0.076711577,15023318,0.9996,0.0004,0,0,0,0,0.961,0.039,0,0,0,0,0.598437509,0.401562491,33683.8854,13526.59,0.03442,17378.256,0.03442
