size,ICEG,ICED,HEV,PHEVf,PHEVe,BEV,FCEV,PHEV
sedan,0.817,0.817,0.85,0.817,0.8,0.7,0.85,0.8085
LT,0.8,0.8,0.85,0.8,0.8,0.7,0.85,0.8
