Iron Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
Forged iron,total,natural gas,natural gas,37.93468233,MJ/kg,input,energy,GREET,C.Iron tab A13,
Forged iron,total,coal,coal,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
Forged iron,total,electricity,electricity,2.112897084,MJ/kg,input,energy,GREET,C.Iron tab A13,
Forged iron,total,electricity,voc,3.01E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,co,9.55E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,nox,0.000187004,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,pm10,3.36E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,pm2.5,1.46E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,sox,0.000459924,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,bc,1.20E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,oc,2.82E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,ch4,0.000528607,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,n2o,4.18E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,total,electricity,co2,0.266511681,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
Forged iron,Recycling,total,voc,3.97E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,co,0.000117178,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,nox,0.00027802,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,pm10,1.20E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,pm2.5,6.62E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,sox,3.82E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,bc,7.22E-07,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,oc,1.31E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,ch4,0.00020352,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,n2o,6.68E-07,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Recycling,total,co2,0.139363655,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,voc,0.000482003,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,co,0.002011082,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,nox,0.00286884,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,pm10,0.000164957,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,pm2.5,0.000150714,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,sox,0.000724482,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,bc,2.63E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,oc,6.12E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,ch4,0.008264794,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,n2o,8.06E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Forging,total,co2,2.526199893,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,voc,8.95E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,co,2.84E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,nox,5.56E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,pm10,9.98E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,pm2.5,4.33E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,sox,0.000136704,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,bc,3.55E-07,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,oc,8.39E-07,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,ch4,0.000157119,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,n2o,1.24E-06,kg/kg,output,mass,GREET,C.Iron tab A13,
Forged iron,Machining,total,co2,0.079215698,kg/kg,output,mass,GREET,C.Iron tab A13,
Cast iron,total,iron,iron feed,1.00E+00,kg/kg,input,mass,dummy,dummy,
Forged iron,total,iron,iron feed,1,kg/kg,input,mass,dummy,dummy,
