,,,Case,FOM,CapEx,H2_Flow,Water_Consumption,Efficiency,power_efficiency,Non-fuel_VOM
,,,,[A],[B],[C],[D],[E],[F],[G]
,1,[1],Alk,55,1214,60,1.7,5.2,0,0
,2,[2],PEM,75,1771,300,1.4,5.2,0,0
,3,[3],SMR,23,678,100000,0,0.76,0.025,0.25
,4,[4],SMR_CCS,27,1102,100000,0,0.69,0.00098,0.24
,,,,,,,,,,
,,,,,,,,,,
,,Sources:,,,,,,,,
2,E,[2] x [E],"Hydrogenics. 2018. ""Renewable Hydrogen Solutions."" URL: http://www.hydrogenics.com/wp-content/uploads/Renewable-Hydrogen-Brochure.pdf?utm_campaign=Renewable%20Hydrogen%20Solutions&utm_medium=email&_hsenc=p2ANqtz--OYGnf0s7gCZk_he-IEDKWyrDvjD6rS4gx6XCQWaBTEIq4oLm6zzjqtYvdPkcsoSf2xRYvdYNmaaWb0VrxPZnkPOfWTg&_hsmi=49692264&utm_source=hs_automation&utm_content=49692264&hsCtaTracking=c64066a0-d1ee-4deb-98e9-da6edcb953cc%7Cdc0f932a-2b3a-48d8-abf5-3be57312a9bb",,,,,,,
2,F,[2] x [F],N/A,,,,,,,
2,G,[2] x [G],N/A,,,,,,,
3,A,[3] x [A],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
3,B,[3] x [B],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
3,C,[3] x [C],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
3,D,[3] x [D],N/A,,,,,,,
3,E,[3] x [E],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
3,F,[3] x [F],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
3,G,[3] x [G],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
4,A,[4] x [A],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
4,B,[4] x [B],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
4,C,[4] x [C],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
4,D,[4] x [D],N/A,,,,,,,
4,E,[4] x [E],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
4,F,[4] x [F],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
4,G,[4] x [G],"IEA. 2017. ""Techno-Economic Valuation of SMR Based Standalone (Merchant) Hydrogen Plant with CCS.""",,,,,,,
