Seqno,state,plant_name,orispl,unit,prime_mover,fuel,online_year,egrid_year,gen,number_of_boiler,genstatus,gen_prime_mover,gen_fuel,capacity_mw,match_score,plant_id
101,AK,Craig (AK),421,3A,IC,DFO,,2018,3A,0,RE,IC,DFO,1.6,1,26
102,AK,Craig (AK),421,3B,IC,DFO,,2018,3B,0,OP,IC,DFO,1.8,1,26
103,AK,Craig (AK),421,5,IC,DFO,,2018,5,0,OP,IC,DFO,1.1,1,26
104,AK,Craig (AK),421,6,IC,DFO,,2018,6,0,OP,IC,DFO,1.1,1,26
105,AK,Delta Power,56325,6,GT,DFO,,2018,6,0,SB,GT,DFO,23.1,1,27
106,AK,Delta Wind Farm,58511,EWT1,WT,WND,,2018,EWT1,0,OP,WT,WND,0.9,1,28
107,AK,Delta Wind Farm,58511,EWT2,WT,WND,,2018,EWT2,0,OP,WT,WND,0.9,1,28
108,AK,Delta Wind Farm,58511,NW1,WT,WND,,2018,NW1,0,OP,WT,WND,0.1,1,28
109,AK,Dillingham,109,10,IC,DFO,,2018,10,0,OP,IC,DFO,1.1,1,29
,CT,,55042,BE2,CT,NG,,,GEN2,,,CT,NG,,0.727272727,2303
110,AK,Dillingham,109,11,IC,DFO,,2018,11,0,OP,IC,DFO,1,1,29
111,AK,Dillingham,109,12,IC,DFO,,2018,12,0,OP,IC,DFO,1,1,29
112,AK,Dillingham,109,13,IC,DFO,,2018,13,0,OP,IC,DFO,1,1,29
4972,CO,Holly,502,2,IC,NG,,2018,2,0,RE,IC,NG,0.2,1,2161
113,AK,Dillingham,109,14,IC,DFO,,2018,14,0,OP,IC,DFO,1,1,29
114,AK,Dillingham,109,15,IC,DFO,,2018,15,0,OP,IC,DFO,1,1,29
115,AK,Dillingham,109,16,IC,DFO,,2018,16,0,OP,IC,DFO,0.5,1,29
116,AK,Dillingham,109,3,IC,DFO,,2018,3,0,RE,IC,DFO,0.3,1,29
117,AK,Dillingham,109,4,IC,DFO,,2018,4,0,RE,IC,DFO,0.5,1,29
118,AK,Dillingham,109,5,IC,DFO,,2018,5,0,RE,IC,DFO,0.7,1,29
119,AK,Dillingham,109,6,IC,DFO,,2018,6,0,RE,IC,DFO,1,1,29
120,AK,Dillingham,109,8,IC,DFO,,2018,8,0,RE,IC,DFO,0.8,1,29
121,AK,Dillingham,109,IC9,IC,DFO,,2018,IC9,0,RE,IC,DFO,0.8,1,29
122,AK,Dutch Harbor,7502,1,IC,DFO,,2018,1,0,RE,IC,DFO,0.3,1,30
123,AK,Dutch Harbor,7502,10,IC,DFO,,2018,10,0,OP,IC,DFO,5.2,1,30
