Location,Source,Comments,value,unit
SD,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.02,$/1000 ft3
TN,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.94,$/1000 ft3
TX,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",3.42,$/1000 ft3
UT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.31,$/1000 ft3
VT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.55,$/1000 ft3
VA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.08,$/1000 ft3
WA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",7.17,$/1000 ft3
WV,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",3.54,$/1000 ft3
WI,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.2,$/1000 ft3
WY,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",3.92,$/1000 ft3
