JetFuel,Item Type,value,unit,source
Conventional,O&M,8.53E-08,$/BTU,Prelim and GREET
Conventional,Capital,6.07E-08,$/BTU,"Petroleum Refining - Technology and Economics 5th Edition; Gary, Handwerk, Kaiser"
