Avg daily peak
553088
551026.25
543339.25
512018.75
510243.25
542152
516985.5
518914.25
509433.5
505880
485552.5
506156
534163.75
542182.75
535638
530774.25
512750.5
473585.5
476348.5
519984.5
515343
508367.25
520835.25
523486.25
470844.25
464877.75
509910
522060.25
529082.5
521593.75
518110.25
481973.5
454786.75
500393.5
505201.25
510912.75
523825.25
516890.5
482385.75
486474
509742.75
495284.5
491288.5
492515
482180.25
442596.25
446283.5
485285.75
492608
477965.5
485910
483142
448197.5
450112
481011.75
474648.25
486561.25
475101.5
473920.25
443100
459508.5
478539.5
475047.25
474082.75
473086.75
449645.25
427240.5
382837.25
452107
499783.5
486688.75
479934.25
460826.5
422953.75
428756
475590
470139
467593.25
461345.25
450001.25
416272.25
423881.5
458441.75
484154
452001.5
448023.25
444793
413559.5
423950.25
462813
464818
456328.75
463209.25
436920
420466.5
447311
456536.5
449598.25
450233.5
451760.25
434746.75
420711.75
423776.75
463090.25
454172.25
458684.75
482942.25
481326
412745.5
429788.5
466409.25
531951.5
461108.75
463173.5
459970
434346.5
435871.75
460880.25
470392.75
479865.25
494275.75
473815.5
425589.25
442437.25
480704.5
494960.25
505172
499495.5
487966.5
444657.25
444758.5
497804
514884
507569.75
517998.25
507852
552881.5
534656.5
556447.25
563420.25
539707.75
542846
563893.25
542226.5
512622
541643
574556.25
570057.25
556514.5
553874.75
536412.25
522640.5
542282.75
626969.25
558027.25
566323.5
567185.5
543874.25
539833.25
584135.25
604740
598987
592473.25
587500
563880.5
570205.75
630041.5
619345.75
621015
610133.75
606940.25
564381.25
574585.25
611879
603402.75
632020.75
629911.75
627656.5
555689
566711.5
614137.75
631581.5
640280.25
642259.75
637910.25
588375
588459
640818.75
662545.75
673120
662872.25
635448.75
613583.25
622382
675593
676073
687160.5
686896
686359.75
646950.25
660256.75
662076.25
651187
665213.75
662592.75
652083.25
609069.75
612369.25
655114
654468.75
676433.5
678702.25
642146.75
612914.25
608203
648046.5
695420.25
676681.25
673813.5
655534.75
608544
604320
649832.5
653632.75
665373
660929.5
655356.75
622210.75
606311.25
643484.25
670813
640702.75
625374.5
600524.5
566936.5
579159.75
642260.5
623012.5
619273.75
614095.25
595512.75
555796.75
559924.75
593512.75
644296.25
631000.25
613610.5
614838.5
555743.75
525615.5
563193.5
577678.5
597806.25
600658.25
594361.25
567453.5
577827.25
616175
614558.5
615243.25
600061
600725.25
541096.25
537869.75
566887
564266.75
565968.5
535541.75
520054.75
484809.25
512612.75
535697.75
536194.25
555562
540454.75
525401.5
481646
481763
520383.25
507371.5
499310.5
488413.5
465060.25
443499
456816
488486.25
486926
480925
470067.75
449648
427341.75
439836
467575.5
465882
463360.75
483395
443946
421983.25
433882.25
438719.5
442421
441603.25
441291.5
442734.5
403851.25
520015
479369.5
474840.5
471999.25
471638
473224.75
439237.75
443874
493445.75
498378.25
484464.75
492989.5
478213.75
442449
457205.75
486390.75
509290.5
476408
443681.75
443031
437062.75
454272.25
490202.25
490297
502884.25
498992.75
467104.5
452560.75
468407.25
502276
502451.25
519778
529914.25
520050.5
496799
498206
522753.5
533032.75
613517.25
537002
576062.5
482010.75
496781
536316.25
527479
523849.5
520409.25
511271.75
463196
452430
468861
474006.5
497480
510285.5
492363.25
478354.5
373302.75
236941.75
116252.75
