Balancing Authority,Date,Averaged Demand (MwH)
CISO,03/21/2020 8:00:00 AM 8,21035
CISO,03/21/2020 9:00:00 AM 9,20753
CISO,03/21/2020 10:00:00 AM 10,19981
CISO,03/21/2020 11:00:00 AM 11,19292
CISO,03/21/2020 12:00:00 PM 12,18863
CISO,03/21/2020 1:00:00 PM 13,18502
CISO,03/21/2020 2:00:00 PM 14,18086
CISO,03/21/2020 3:00:00 PM 15,17890
CISO,03/21/2020 4:00:00 PM 16,18305
CISO,03/21/2020 5:00:00 PM 17,19189
CISO,03/21/2020 6:00:00 PM 18,20783
CISO,03/21/2020 7:00:00 PM 19,22459
CISO,03/21/2020 8:00:00 PM 20,24105
CISO,03/21/2020 9:00:00 PM 21,24162
CISO,03/21/2020 10:00:00 PM 22,23408
CISO,03/21/2020 11:00:00 PM 23,22239
CISO,03/22/2020 12:00:00 AM 24,20938
CISO,03/22/2020 1:00:00 AM 1,20275
CISO,03/22/2020 2:00:00 AM 2,19524
CISO,03/22/2020 3:00:00 AM 3,19048
CISO,03/22/2020 4:00:00 AM 4,18802
CISO,03/22/2020 5:00:00 AM 5,18843
CISO,03/22/2020 6:00:00 AM 6,19248
CISO,03/22/2020 7:00:00 AM 7,19878
CISO,03/22/2020 8:00:00 AM 8,19761
CISO,03/22/2020 9:00:00 AM 9,19313
CISO,03/22/2020 10:00:00 AM 10,18339
CISO,03/22/2020 11:00:00 AM 11,17455
CISO,03/22/2020 12:00:00 PM 12,16957
CISO,03/22/2020 1:00:00 PM 13,16837
CISO,03/22/2020 2:00:00 PM 14,16890
CISO,03/22/2020 3:00:00 PM 15,17412
CISO,03/22/2020 4:00:00 PM 16,18293
CISO,03/22/2020 5:00:00 PM 17,19376
CISO,03/22/2020 6:00:00 PM 18,21211
CISO,03/22/2020 7:00:00 PM 19,22658
CISO,03/22/2020 8:00:00 PM 20,23974
CISO,03/22/2020 9:00:00 PM 21,23911
CISO,03/22/2020 10:00:00 PM 22,23008
CISO,03/22/2020 11:00:00 PM 23,22164
CISO,03/23/2020 12:00:00 AM 24,20873
CISO,03/23/2020 1:00:00 AM 1,19822
CISO,03/23/2020 2:00:00 AM 2,19111
CISO,03/23/2020 3:00:00 AM 3,18870
