Aggregated and averaged over 4 years
11906154.5
11917542.5
11927400.5
11374980
11188280.25
11771919
11274698.75
11069076
10986883.25
11034156.25
10598691.25
10720663.75
11583942.75
11810138.25
11645659.75
11506596.75
11130245.75
10403579.25
10257687.25
11096151.25
11160738.25
11094803.75
11169638
11197443.75
10445803.75
10043637.75
10839178.5
11184574.25
11320921
11294766.25
11285522.5
10737488
10121304.75
10832789.75
10976391.75
11031371.75
11202274.75
11238132.5
10603791.75
10487222.75
11043385.5
10844076.25
10687130.5
10568599.25
10386457
9722747.75
9487389
10317114
10571100.75
10202668.5
10529485.25
10482516
9869736.5
9629366.5
10244143
10253727
10343923.5
10279669.75
10520670.25
9903304
9747562.25
10339336.25
10238366.75
10204367.25
10187909.5
9836267
9413966
8005677
9879025.5
10526616.75
10545793.75
10317988
10086537
9411081
9193656.75
10149397.5
10083411.75
10124612.75
9919971.25
9860234.5
9226367
9022453.5
9907870.5
10018918
9826914.5
9738765
9595774.25
9052848
8993173
9944739.75
10039854.75
9936055.75
9900880.25
9797010.75
9330740.25
9085523.75
9611177.5
8454454.5
9639646
9388858
9291981
8975452.75
8955985.5
9154821.75
9398880
9468446
9326938.25
8716299
9054069.25
8362879.5
8745605.75
9618795.75
9297255.75
8933732.25
8672044.75
8957123.5
8862865.25
9041912
9723760.25
9469647.75
9423196.75
9504539.5
8626379.25
8725648
9979196
10233612
10414051.5
10399751.75
9659934
9035167.25
9253306.5
9613086.25
10177847.5
10097093.25
10078733.25
10042083
9441062
9794732.5
10018971
10886359
10851178
10777897.25
11072482.25
10583704.75
10343875.5
10553382
11449425.5
11476437.25
11245157.75
11062272
10749533.5
10419236.75
10886575.5
11183911.5
11080913.25
10919575.25
11295868.5
10860296
10830232.75
11664414.25
11808285.5
11865860.25
11807780
11729474.25
11250377
11298123.75
12414714.25
12376058.5
12327009.5
12266551.25
12237770.75
11370445
11284725.25
12061607.75
12010622.5
12163539
12423421.75
12421469
11173556
11162988
12026587.5
12410533
12619382.75
12652635.25
12647853
11740555
11462630.75
12500245.5
12947105.75
13219848.5
13151755
12562944.5
12147429.75
12094058
13244011
13331579.25
13475196.25
13539404
13618608.75
12934477
12615556.75
13121570
12936670.25
13036859.25
13038782.75
12881743.5
12075511
11912994.5
12824164.25
12898680.25
12913916.5
12935640.5
12729170.5
12111452.5
11895618.75
12772278.25
12951470
13112684.25
13222590.25
13020355.5
12156079.75
11878720
12789855.75
12946699
13054437.25
13041257
12920673.5
12190012.25
11854624.5
12690032.75
12846575.75
12654407
12392935.75
12019492.5
11280640.25
11322464
12359945.25
12398269.25
12132774
12236341.5
11918299.75
11045587.75
10999703
11496370
12554695.5
12550722.25
12261631.5
12004427.25
11087516.5
10546326.5
11114570.75
11538492.5
11824816
11943387.75
11829002.25
11250923.25
11228359.25
12148097.25
12163967
12112585
11953032.75
11768239
10893265.5
10627798
11378398.5
11144191.75
11344676.5
10974742.25
10686166
10002628
9947887
10889551.25
10983849.75
11257380.5
11112599.5
10787380.25
10051356.25
9857921.25
10665161.5
10662066.25
10508046
10381164.25
10014969
9467176
9422843
10198235.25
10257716.5
10191224.75
10029715.25
9828299.75
9229160.75
9102463
9894725.75
9932903.25
9908529.25
10017270.5
9792254.25
9180537.25
9059027.75
9331204
9482909.5
9527424.5
9538947.75
9596604
8822672.25
7944031.5
10024289.25
10037867
10016841
10102959
10283233.25
9642835.5
9395336.75
10347523.75
10636854.75
10448179.75
10756991.25
10452795.5
9760841.75
9778589.5
10556779
10518434.25
10427689
9696274.75
9686651
9504618.5
9576143.5
10491953.5
10606746.75
10602623.5
10390192.5
10205181
9790414.25
9766050.75
10642043.75
10833286
11125609
11416701.25
11495852
11023433
10759037.5
11182934.75
11354901.5
11702602.5
11597433.25
11561748.75
10653748
10566991.75
11392014.75
11380294.75
11322881
11026515.25
10940903.5
10249254
10001548
10181229
10299051.5
10655583.25
10904064.75
10802066
10409452
7989576.5
5104732.5
2567651
