Plant Technology,refsize,unit,capex,unit,ref,opex,unit,lifetime,unit,dac_electricity,updated ref,unit,comp_electricity,unit,updated ref,gas,unit,updated ref,original ref,,Industrial Reference
High Temperature Aqueous Solution (HT),980000,ton/year,1150,USD/ton,https://www.sciencedirect.com/science/article/pii/S2542435118302253?via%3Dihub,3.7,%,25,years,0,Howard Herzog Chapter ,MJ elect/kg CO2 Cap,0.432,MJ elect/kg CO2 Cap,Howard Herzog Chapter ,4.2012,MJ NG/kg CO2 Cap,Howard Herzog Chapter ,http://www.sciencedirect.com/science/article/pii/S0959652619307772,https://www.usinflationcalculator.com/,Carbon Engineering 
Low Temperature Solid Sorbent Temperature Swing Adsorption (LT_TSA),360000,ton/year,878.3652,USD/ton,Fahisi et al ,4,%,20,years,1.8,Howard Herzog Chapter ,MJ elect/kg CO2 Cap (500 kWh/kgCO2),0.432,MJ elect/kg CO2 Cap,Howard Herzog Chapter ,7.2,MJ NG/kg CO2 Cap,Howard Herzog Chapter ,http://www.sciencedirect.com/science/article/pii/S0959652619307772,https://www.usinflationcalculator.com/,Climeworks 
