Plant Technology,refsize,unit,capex,unit,opex,unit,lifetime,unit,dac_electricity,unit,comp_electricity,unit,ref,gas,unit,ref,,direction,revision,Industrial Reference
High Temperature Aqueous Solution (HT),1000000,ton/year,980.6406,USD/ton,3.7,%,25,years,0,MJ elect/kg CO2 Cap,0.432,MJ elect/kg CO2 Cap,comp energy req 120kWh/tCO2 as per Howard Herzog DAC Chapter,4.2012,MJ NG/kg CO2 Cap,http://www.sciencedirect.com/science/article/pii/S0959652619307772,https://www.usinflationcalculator.com/,input,Chapter 6 Direct Air Capture - Hpward Herzog ,Carbon Engineering 
Low Temperature Solid Sorbent Temperature Swing Adsorption (LT_TSA),360000,ton/year,878.3652,USD/ton,4,%,20,years,1.8,MJ elect/kg CO2 Cap,0.432,MJ elect/kg CO2 Cap,comp energy req 120kWh/tCO2 as per Howard Herzog DAC Chapter,7.2,MJ NG/kg CO2 Cap,http://www.sciencedirect.com/science/article/pii/S0959652619307772,https://www.usinflationcalculator.com/,input,Chapter 6 Direct Air Capture - Hpward Herzog ,Climeworks 
