state,electricity,unit,source,gas,unit,source,region,transport,unit,source,basin,storage,unit,source,
Indiana,0.018277778,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005611055,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,IN
Iowa,0.023361111,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.004473679,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,IA
Kansas,0.019916667,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003222566,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,KS
Kentucky,0.014722222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003260478,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,KY
Louisiana,0.012722222,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.002208405,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,LA
Maine,0.024638889,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.00563949,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,ME
Maryland,0.0215,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.009762478,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,MD
Massachusetts,0.036861111,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.006776866,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,MA
Michigan,0.020444444,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.005630012,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,eastern,0.05,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,Midwest/Gulf Coast,7,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,MI
Minnesota,0.023333333,USD/MJ,https://www.eia.gov/electricity/monthly/epm_table_grapher.php?t=epmt_5_6_a,0.003497431,USD/MJ,https://www.eia.gov/dnav/ng/ng_pri_sum_a_epg0_pin_dmcf_m.htm,central,0.04,USD/inch-mile-tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,South Central ,8,USD/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,MN
