,Gen,Gen_opt,Storage,Storage_opt,load_profile,Gen_EndCap,Stor_EndCap,Stor_EndEnergyCap,Stor_EndChargeCap,Sto_cycles,Gen_CF,Curtailment_pct,E_supplied_gen,E_supplied_sto,NSE_pct
0,wind,MA_offshore,Thermal,High,Boston,6.84051724137931,4.726159482758621,623.3555114120686,4.647495277408399,0.02197049219350998,0.4250090334423815,0.013128548485486781,1.3030924964463724,0.2557716996417284,0.0
1,wind,MA_offshore,Thermal,Moderate,Boston,6.611444545618662,4.808536216354118,647.2975300167568,5.079107211071237,0.021732656801778587,0.42701753304380896,0.008464810162155808,1.2654069284188032,0.2627203240177745,0.0
2,wind,MA_offshore,Thermal,Low,Boston,6.392770452142528,4.8212193137757335,666.2086595368351,4.867842747621102,0.021786418324306847,0.4272780193270036,0.007859960720924417,1.2242998697357101,0.2710647293126068,0.0
3,wind,MA_offshore,Li-ion battery,Today,Boston,9.9127175553175,4.723087282444682,114.0138270896327,0.0,0.0893412185748966,0.23284078443945158,0.45934343783144244,1.0345224672002253,0.19023319195913366,0.0
4,wind,MA_offshore,Compressed Air,2020,Boston,8.619296844726033,4.724380703155274,193.7661540782371,4.284421774563086,0.08323635837135789,0.31394771643113617,0.27101305093538613,1.212878527667129,0.30120896251469687,0.0
5,wind,MA_offshore,Compressed Air,2050,Boston,8.598857686062008,4.724401142313938,194.65446851735626,4.431884911474818,0.08303965405544307,0.3148159745619445,0.2689969545835041,1.2133487971544168,0.30187476402740815,0.0
6,wind,TX_onshore,Thermal,High,Texas,7.836716288604872,4.7383265674227895,228.63413323087462,5.71677808365812,0.04882865520784106,0.35502803635744473,0.2007421941820514,1.2470530128433046,0.20849360111661244,0.0
7,wind,TX_onshore,Thermal,Moderate,Texas,7.601895138977259,4.759184838888182,234.6653487682886,5.756809857723282,0.048504136037736706,0.3565082080391924,0.19740995376880013,1.2147294174977397,0.21257130471973837,0.0
8,wind,TX_onshore,Thermal,Low,Texas,7.358331563044589,4.761133347495644,240.6082376559415,5.524206642707583,0.048666480742557444,0.3580641423658733,0.19390715250076804,1.180941340238874,0.21868416335906368,0.0
9,wind,TX_onshore,Li-ion battery,Today,Texas,9.851436044240106,5.351971550551524,122.33840762834048,0.0,0.07648068266452857,0.2336536366993225,0.47398663242002703,1.0317161490009803,0.17473965689821788,0.0
10,wind,TX_onshore,Compressed Air,2020,Texas,8.033979871672425,4.755728161026621,173.30587303035085,4.003664993888286,0.0631705283278343,0.31783419385766787,0.28447493047891165,1.144509755955668,0.20445827344530804,0.0
11,wind,TX_onshore,Compressed Air,2050,Texas,7.982596612412997,4.756139227100697,174.602239606801,4.123895249146988,0.06301490668386521,0.3200819158741433,0.2794147403446087,1.1452319683170067,0.20548021289070523,0.0
12,solar,Boston,Thermal,High,Boston,37.01770816336573,5.174,605.9230541905537,27.22498944905893,0.05261595791300269,0.10278935256919484,0.5038558082798749,1.7054767335821277,0.5954041506002344,0.0
13,solar,Boston,Thermal,Moderate,Boston,26.819400357733727,5.192,1342.6414008036031,21.32236332017169,0.02415936961544546,0.1340934080013279,0.35275722762209316,1.611924265890194,0.6057906030322275,0.0
14,solar,Boston,Thermal,Low,Boston,21.980754231345028,5.192,1998.9200000000003,17.444678808210526,0.016423280215151794,0.15299286797636,0.26153321405564006,1.5073076992545016,0.6131012699322809,0.0
15,solar,Boston,Li-ion battery,Today,Boston,34.37492927858828,21.38807443419062,165.08446533133014,0.0,0.1938237350620074,0.07194228499677285,0.652748597514565,1.1084450852284777,0.597571759844,0.0
16,solar,Boston,Compressed Air,2020,Boston,36.19641483760848,5.192,277.3069015548959,22.690436608890057,0.11508255338193343,0.08760088295398923,0.5771675939108727,1.4212228510958773,0.596001107852784,0.0
17,solar,Boston,Compressed Air,2050,Boston,36.068384474711856,5.192,278.3380434096957,22.984937516773,0.11467671249610448,0.08791648846889169,0.5756442275389687,1.4212980655607137,0.5961076616779692,0.0
18,solar,Tuscon,Thermal,High,Tuscon,26.28941970848799,5.176,327.683869335408,19.5694019748384,0.09781861062287647,0.14505918090943848,0.4240758698827002,1.709284529822356,0.5986230738637256,0.0
19,solar,Tuscon,Thermal,Moderate,Tuscon,24.606302123516347,5.192,332.2175097470237,18.407081179506697,0.09667350213251073,0.14560233967026343,0.421919382889719,1.6058421274989556,0.5998005639856872,0.0
20,solar,Tuscon,Thermal,Low,Tuscon,19.563924856536563,5.192,856.5859851077763,15.237073498034858,0.037782063755453406,0.17106756986308844,0.32081554061588413,1.5000709932448713,0.6044126433366406,0.0
21,solar,Tuscon,Li-ion battery,Today,Tuscon,26.80886632091649,9.29847458224051,142.68588479025846,0.0,0.22452019736072593,0.09225690682272865,0.633715160418808,1.1085760197968564,0.5982921813847474,0.0
22,solar,Tuscon,Compressed Air,2020,Tuscon,24.20958730587548,5.192,204.00321305372887,15.478932955571366,0.1575110163397017,0.13124098905549283,0.4789378239719486,1.424114872851994,0.6001016776765463,0.0
23,solar,Tuscon,Compressed Air,2050,Tuscon,24.10657272134477,5.192,205.0867445983813,15.67831498638606,0.15669994789138833,0.13180711521906993,0.4766901501863209,1.4241720767783117,0.60018252043467,0.0
