activity,flow_source,flows,value,unit,direction,type,source,data location,comment
On-site Mobile Fuel Use,total,voc,4.59391E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,co,2.61728E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,nox,4.06755E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,pm10,2.12277E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,pm2.5,1.7175E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,sox,1.27053E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,bc,1.00524E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,oc,3.54772E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,ch4,1.0953E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,n2o,2.10474E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
On-site Mobile Fuel Use,total,co2,0.00088718,kg/kg,output,mass,GREET,Cemment_Concrete tab A29,
