Crude Type,Crude Sub-Type,Count Emissions from Building Well Infrastructure,flow_source,flows,value,unit,direction,type,source,data location,comment
Oil Sand,Surface Mining + SCO,yes,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,electricity,-0.002353,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,hydrogen,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,petcoke,0.02669,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,butane,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,blendstock,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,gtl,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,produced gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,refinery still gas,0.139666,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,diluent flared,0.002518,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,,natural gas flared,0.000668,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + SCO,yes,electricity,voc,-4.65E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,co,-1.00E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,nox,-3.06E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,pm10,-7.06E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,pm2.5,-2.88E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,sox,-1.15E-06,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,bc,-1.57E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,oc,-3.76E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,ch4,-7.47E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,n2o,-8.94E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,Surface Mining + SCO,yes,electricity,co2,-0.00052016,kg/MJ,output,mass,GREET,Petroleum tab Row 113 for oil sands and Electric tab R253,
Oil Sand,Surface Mining + SCO,yes,total,voc,1.91E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,co,1.17E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,nox,2.00E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,pm10,9.39E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,pm2.5,9.04E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,sox,1.47E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,bc,1.52E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,oc,3.53E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,ch4_combustion,1.71E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,n2o,3.78E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + SCO,yes,total,co2,0.022130698,kg/MJ,output,mass,GREET,Petroleum tab Row 141 for oil sands,
Oil Sand,Surface Mining + SCO,yes,total,ch4_non-combustion,0.000131525,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,,crude oil / sco,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,residual oil,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,diesel fuel,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,gasoline,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,natural gas,0.175213,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,electricity,-0.001433,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,hydrogen,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,petcoke,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,butane,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,blendstock,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,gtl,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,produced gas,0.028351,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,refinery still gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,diluent flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,,natural gas flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,electricity,voc,-2.83E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,co,-6.10E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,nox,-1.86E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,pm10,-4.30E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,pm2.5,-1.75E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,sox,-6.99E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,bc,-9.57E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,oc,-2.29E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,ch4,-4.55E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,n2o,-5.45E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,electricity,co2,-0.000316782,kg/MJ,output,mass,GREET,Petroleum tab Row 113 for oil sands and Electric tab R253,
Oil Sand,In-Situ Production + Bitumen,yes,total,voc,1.71E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,co,1.11E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,nox,1.51E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,pm10,7.27E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,pm2.5,7.43E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,sox,-5.41E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,bc,1.30E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,oc,3.20E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,ch4_combustion,1.86E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,n2o,4.22E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + Bitumen,yes,total,co2,0.013214626,kg/MJ,output,mass,GREET,Petroleum tab Row 141 for oil sands,
Oil Sand,In-Situ Production + Bitumen,yes,total,ch4_non-combustion,0.000148496,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,,crude oil / sco,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,residual oil,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,diesel fuel,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,gasoline,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,natural gas,0.252376,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,electricity,-0.000357,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,hydrogen,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,petcoke,0.03609,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,butane,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,blendstock,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,gtl,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,produced gas,0.00107,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,refinery still gas,0.122389,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,diluent flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,,natural gas flared,0.028087,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,electricity,voc,-7.06E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,co,-1.52E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,nox,-4.64E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,pm10,-1.07E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,pm2.5,-4.37E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,sox,-1.74E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,bc,-2.39E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,oc,-5.70E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,ch4,-1.13E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,n2o,-1.36E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Oil Sand,In-Situ Production + SCO,yes,electricity,co2,-7.89E-05,kg/MJ,output,mass,GREET,Petroleum tab Row 113 for oil sands and Electric tab R253,
Oil Sand,In-Situ Production + SCO,yes,total,voc,2.86E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,co,1.91E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,nox,2.96E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,pm10,1.42E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,pm2.5,1.41E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,sox,1.87E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,bc,3.09E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,oc,5.09E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,ch4_combustion,3.18E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,n2o,7.36E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,In-Situ Production + SCO,yes,total,co2,0.029172833,kg/MJ,output,mass,GREET,Petroleum tab Row 141 for oil sands,
Oil Sand,In-Situ Production + SCO,yes,total,ch4_non-combustion,0,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,,crude oil / sco,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,residual oil,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,diesel fuel,0.001308,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,gasoline,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,natural gas,0.010443,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,electricity,0.000041,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,hydrogen,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,petcoke,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,butane,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,blendstock,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,gtl,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,produced gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,refinery still gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,diluent flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,,natural gas flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Bakken,yes,electricity,voc,5.85E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,co,1.85E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,nox,3.63E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,pm10,6.52E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,pm2.5,2.82E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,sox,8.93E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,bc,2.32E-11,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,oc,5.48E-11,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,ch4,1.03E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,n2o,8.10E-11,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Bakken,yes,electricity,co2,5.17E-06,kg/MJ,output,mass,GREET,Petroleum tab Row 113 and Electric tab B220 and C220,
Shale Oil,Bakken,yes,total,voc,1.77E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,co,1.09E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,nox,7.85E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,pm10,6.74E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,pm2.5,3.92E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,sox,4.88E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,bc,4.76E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,oc,4.92E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,ch4_combustion,4.63E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,n2o,1.55E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Bakken,yes,total,co2,0.007308819,kg/MJ,output,mass,GREET,Petroleum tab Row 141,
Shale Oil,Bakken,yes,total,ch4_non-combustion,6.16E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,,crude oil / sco,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,residual oil,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,diesel fuel,0.000976,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,gasoline,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,natural gas,0.013629,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,electricity,0.00014,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,hydrogen,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,petcoke,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,butane,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,blendstock,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,gtl,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,produced gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,refinery still gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,diluent flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,,natural gas flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Shale Oil,Eagle Ford,yes,electricity,voc,2.00E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,co,6.33E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,nox,1.24E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,pm10,2.23E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,pm2.5,9.64E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,sox,3.05E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,bc,7.92E-11,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,oc,1.87E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,ch4,3.50E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,n2o,2.77E-10,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Shale Oil,Eagle Ford,yes,electricity,co2,1.77E-05,kg/MJ,output,mass,GREET,Petroleum tab Row 113 and Electric tab B220 and C220,
Shale Oil,Eagle Ford,yes,total,voc,1.99E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,co,1.19E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,nox,8.85E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,pm10,6.82E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,pm2.5,4.00E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,sox,4.92E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,bc,4.37E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,oc,5.45E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,ch4_combustion,5.42E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,n2o,1.61E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Shale Oil,Eagle Ford,yes,total,co2,0.003444912,kg/MJ,output,mass,GREET,Petroleum tab Row 141,
Shale Oil,Eagle Ford,yes,total,ch4_non-combustion,6.07E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Average Mix to US Refineries,,yes,,crude oil / sco,0.000820524,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,residual oil,0.00015733,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,diesel fuel,0.00251854,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,gasoline,0.000314659,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,natural gas,0.025431598,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,electricity,0.002839202,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,hydrogen,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,petcoke,0.001035792,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,butane,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,blendstock,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,gtl,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,produced gas,0.001347104,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,refinery still gas,0.005065034,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,diluent flared,7.95E-05,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,,natural gas flared,0.000171179,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122,
Average Mix to US Refineries,,yes,electricity,voc,3.96E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
