Type,Location,Efficiency,Source,Comments,flows,value,unit,direction,type,data location
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,ch4,9.234943156486855e-05,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,nox,2.4688165463056185e-05,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,pm2.5,5.605061484436839e-07,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,co2,0.005142596188233603,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,pm10,7.100630106972652e-07,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,n2o,8.066275900073963e-08,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,coal,0.008708499847652608,MJ/MJ,input,energy,Petroleum tab-A81:E144
Conventional Oil,Mexico,95%,GREET ,EIA projection;API - 34.8;S cont- 1.4,water consumption,82.5137895183783,liter/MJ,input,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,natural gas,0.02098471411716365,MJ/MJ,input,energy,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,co,6.556715979039078e-06,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,Middle East,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,oc,6.280187498841982e-08,kg/MJ,output,mass,Petroleum tab-A81:E144
