Fuel type,LB_C (%),UP_C(%),M_C(%),LB_HHV(MJ/kg),UP_HHV(MJ/kg),M_HHV(MJ/kg),source
Jawar straw,42.1,42.1,42.1,,,17.951,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Rice straw,35.68,35.68,35.68,,,14.85,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Rice husk,38.5,38.5,38.5,,,14.693,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Rice husk bran,38.93,38.93,38.93,,,15.29,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Coconut coir pith,43.36,43.36,43.36,,,18.067,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Sugarcane bagasse,45.48,45.48,45.48,,,18.73,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Millet grain waste,40.56,40.56,40.56,,,15.206,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Coke,89.13,89.13,89.13,,,31.124,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Charcoal,92.04,92.04,92.04,,,34.388,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Peat,56,56,56,,,20.667,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
Oak bark,49.7,49.7,49.7,,,19.42,"Exergy table: Channiwala SA, Parikh PP. A unified correlation for estimatingHHV of solid, liquid and gaseous fuels. Fuel 2002;81:1051–63."
